time_sec,iq_cmd_requested_amp,iq_cmd_lsb,iq_cmd_amp,iq_lsb,iq_amp,iq_error_amp,speed_dps
0.00024276000112877227,0.0,0,0.0,2,0.0322265625,-0.0322265625,0.0
0.0020655080006690696,0.0,0,0.0,0,0.0,0.0,0.0
0.004063588999997592,0.0,0,0.0,1,0.01611328125,-0.01611328125,0.0
0.006063590000849217,0.0,0,0.0,2,0.0322265625,-0.0322265625,0.0
0.008063175000643241,0.0,0,0.0,1,0.01611328125,-0.01611328125,0.0
0.010062921001008363,0.0,0,0.0,3,0.04833984375,-0.04833984375,0.0
0.012062441999660223,0.0,0,0.0,1,0.01611328125,-0.01611328125,0.0
0.014061931000469485,0.0,0,0.0,1,0.01611328125,-0.01611328125,0.0
0.016061485001046094,0.0,0,0.0,2,0.0322265625,-0.0322265625,0.0
0.018065870001009898,0.0,0,0.0,-6,-0.0966796875,0.0966796875,0.0
0.020065519000127097,0.0,0,0.0,3,0.04833984375,-0.04833984375,0.0
0.02206699300040782,0.0,0,0.0,-7,-0.11279296875,0.11279296875,0.0
0.02406619400062482,0.0,0,0.0,-7,-0.11279296875,0.11279296875,0.0
0.026062578999699326,0.0,0,0.0,2,0.0322265625,-0.0322265625,0.0
0.028062676999979885,0.0,0,0.0,2,0.0322265625,-0.0322265625,0.0
0.03006226199977391,0.0,0,0.0,2,0.0322265625,-0.0322265625,0.0
0.03206479100117576,0.0,0,0.0,1,0.01611328125,-0.01611328125,0.0
0.03406524100137176,0.0,0,0.0,1,0.01611328125,-0.01611328125,0.0
0.036063386000023456,0.0,0,0.0,2,0.0322265625,-0.0322265625,0.0
0.03806578700095997,0.0,0,0.0,2,0.0322265625,-0.0322265625,0.0
0.04006249200028833,0.0,0,0.0,2,0.0322265625,-0.0322265625,0.0
0.042063165999934427,0.0,0,0.0,3,0.04833984375,-0.04833984375,0.0
0.044066303000363405,0.0,0,0.0,-7,-0.11279296875,0.11279296875,0.0
0.046067905001109466,0.0,0,0.0,-8,-0.12890625,0.12890625,0.0
0.0480657300013263,0.0,0,0.0,-6,-0.0966796875,0.0966796875,0.0
0.05006854699968244,0.0,0,0.0,-7,-0.11279296875,0.11279296875,0.0
0.052064388000871986,0.0,0,0.0,-7,-0.11279296875,0.11279296875,0.0
0.05407024600026489,0.0,0,0.0,-7,-0.11279296875,0.11279296875,0.0
0.056067495001116185,0.0,0,0.0,-7,-0.11279296875,0.11279296875,0.0
0.05807069700131251,0.0,0,0.0,2,0.0322265625,-0.0322265625,0.0
0.06006845800038718,0.0,0,0.0,-7,-0.11279296875,0.11279296875,0.0
0.06207268300022406,0.0,0,0.0,3,0.04833984375,-0.04833984375,0.0
0.0640676920011174,0.0,0,0.0,1,0.01611328125,-0.01611328125,0.0
0.06607374200029881,0.0,0,0.0,3,0.04833984375,-0.04833984375,0.0
0.06807086300068477,0.0,0,0.0,3,0.04833984375,-0.04833984375,0.0
0.07006993600043643,0.0,0,0.0,3,0.04833984375,-0.04833984375,0.0
0.07207512199966004,0.0,0,0.0,4,0.064453125,-0.064453125,0.0
0.07407147500089195,0.0,0,0.0,3,0.04833984375,-0.04833984375,0.0
0.0760708039997553,0.0,0,0.0,3,0.04833984375,-0.04833984375,0.0
0.07807672600029036,0.0,0,0.0,1,0.01611328125,-0.01611328125,0.0
0.08007371900021099,0.0,0,0.0,3,0.04833984375,-0.04833984375,0.0
0.08207324000068184,0.0,0,0.0,3,0.04833984375,-0.04833984375,0.0
0.08407324200015864,0.0,0,0.0,2,0.0322265625,-0.0322265625,0.0
0.08607455499986827,0.0,0,0.0,2,0.0322265625,-0.0322265625,0.0
0.08807330800118507,0.0,0,0.0,1,0.01611328125,-0.01611328125,0.0
0.0900741100012965,0.0,0,0.0,1,0.01611328125,-0.01611328125,0.0
0.09207420700113289,0.0,0,0.0,2,0.0322265625,-0.0322265625,0.0
0.09407372799978475,0.0,0,0.0,2,0.0322265625,-0.0322265625,0.0
