time_sec,hip_L_Joint_pos_rad,hip_R_Joint_pos_rad,thigh_L_Joint_pos_rad,thigh_R_Joint_pos_rad,knee_L_Joint_pos_rad,knee_R_Joint_pos_rad,wheel_L_Joint_pos_rad,wheel_R_Joint_pos_rad,hip_L_Joint_vel_rad/s,hip_R_Joint_vel_rad/s,thigh_L_Joint_vel_rad/s,thigh_R_Joint_vel_rad/s,knee_L_Joint_vel_rad/s,knee_R_Joint_vel_rad/s,wheel_L_Joint_vel_rad/s,wheel_R_Joint_vel_rad/s,hip_L_Joint_torque,hip_R_Joint_torque,thigh_L_Joint_torque,thigh_R_Joint_torque,knee_L_Joint_torque,knee_R_Joint_torque,wheel_L_Joint_torque,wheel_R_Joint_torque
0.0,0.0111,-0.0138,-0.0004,0.002,-0.0017,0.0004,0.8312,-0.1728,0.0,0.0,0.0,0.0001,0.0,0.0,-0.03,0.0067,-0.05046362429857254,0.10380475223064423,-0.08609844744205475,0.11783185601234436,-0.03462827578186989,-0.020308872684836388,0.0,0.0
0.01,0.0111,-0.0138,-0.0004,0.002,-0.0017,0.0004,0.8309,-0.1728,0.0001,0.0,-0.0021,0.0055,0.0,0.0001,-0.0296,0.0053,-0.07786675542593002,0.13694271445274353,-0.11919943243265152,0.17764560878276825,-0.04031716287136078,-0.03431786969304085,0.0,0.0
0.02,0.0111,-0.0138,-0.0004,0.0021,-0.0017,0.0004,0.8306,-0.1727,-0.0001,0.003,-0.0125,0.0176,0.0,-0.0001,-0.0273,0.0023,-0.09651591628789902,0.15109948813915253,-0.1310781091451645,0.2044919729232788,-0.03728281334042549,-0.043932005763053894,0.0,0.0
0.030000000000000002,0.0111,-0.0137,-0.0006,0.0024,-0.0017,0.0004,0.8304,-0.1728,0.0,0.0087,-0.0174,0.0291,0.0,0.0,-0.0245,-0.0024,-0.1066334918141365,0.153863325715065,-0.13462622463703156,0.21376848220825195,-0.03282834589481354,-0.04959578439593315,0.0,0.0
0.04,0.0111,-0.0136,-0.0008,0.0028,-0.0017,0.0004,0.8302,-0.1728,0.0,0.0155,-0.0272,0.046,0.0,0.0,-0.0215,-0.0078,-0.11114440113306046,0.1520398110151291,-0.13417886197566986,0.21391968429088593,-0.02917279675602913,-0.05252230912446976,0.0,0.0
0.049999999,0.0111,-0.0133,-0.0012,0.0034,-0.0017,0.0004,0.83,-0.1729,0.0,0.0222,-0.037,0.0633,0.0,0.0,-0.0184,-0.0133,-0.11229674518108368,0.14771120250225067,-0.1314721256494522,0.20889142155647278,-0.0264848992228508,-0.053726907819509506,0.0,0.0
0.059999999000000005,0.0111,-0.0131,-0.0016,0.0041,-0.0017,0.0004,0.8298,-0.1731,0.0,0.0288,-0.0466,0.0801,0.0,0.0,-0.0153,-0.0186,-0.11187287420034409,0.14236204326152802,-0.12792764604091644,0.20165379345417023,-0.024686947464942932,-0.053843699395656586,0.0,0.0
0.06999999900000001,0.0111,-0.0127,-0.0022,0.0051,-0.0017,0.0004,0.8297,-0.1733,0.0,0.035,-0.0557,0.096,0.0,0.0,-0.0125,-0.0236,-0.11040892452001572,0.1359844207763672,-0.12323657423257828,0.19207826256752014,-0.023320507258176804,-0.053365904837846756,0.0,0.0
0.079999999,0.0111,-0.0124,-0.0028,0.0061,-0.0017,0.0004,0.8296,-0.1736,0.0,0.041,-0.0642,0.1108,0.0,0.0,-0.0098,-0.0283,-0.1076016053557396,0.1296607404947281,-0.11814330518245697,0.18173633515834808,-0.022109422832727432,-0.05240136384963989,0.0,0.0
0.08999999800000001,0.011,-0.0119,-0.0035,0.0073,-0.0017,0.0004,0.8295,-0.1739,0.0,0.0453,-0.072,0.1243,0.0,0.0,-0.0073,-0.0326,-0.10516923666000366,0.1227148026227951,-0.11272173374891281,0.17048285901546478,-0.02135392278432846,-0.05164756253361702,0.0,0.0
0.099999998,0.011,-0.0115,-0.0043,0.0087,-0.0017,0.0004,0.8294,-0.1743,0.0,0.0486,-0.0791,0.1363,0.0,0.0,-0.0051,-0.0364,-0.10209732502698898,0.11574573814868927,-0.10652390867471695,0.15836839377880096,-0.02047489583492279,-0.050622377544641495,0.0,0.0
0.109999998,0.011,-0.011,-0.0051,0.0101,-0.0017,0.0004,0.8294,-0.1747,0.0,0.0507,-0.0855,0.1467,0.0,0.0,-0.0031,-0.0397,-0.09862012416124344,0.10843600332736969,-0.10035712271928787,0.14601431787014008,-0.019601333886384964,-0.049639493227005005,0.0,0.0
0.11999999800000001,0.011,-0.0105,-0.006,0.0117,-0.0017,0.0004,0.8294,-0.1751,0.0,0.0527,-0.0909,0.1556,0.0,0.0,-0.0014,-0.0425,-0.09401111304759979,0.10101195424795151,-0.0938609167933464,0.13296319544315338,-0.018616192042827606,-0.04854068160057068,0.0,0.0
0.129999998,0.011,-0.0099,-0.007,0.0133,-0.0017,0.0004,0.8294,-0.1755,0.0,0.0526,-0.0955,0.1627,0.0,0.0,0.0001,-0.0448,-0.08996438980102539,0.09363584965467453,-0.08716617524623871,0.11988742649555206,-0.017868313938379288,-0.04787326976656914,0.0,0.0
0.13999999700000001,0.011,-0.0094,-0.008,0.015,-0.0017,0.0004,0.8294,-0.176,0.0,0.0527,-0.0992,0.1682,0.0,0.0,0.0013,-0.0466,-0.08547289669513702,0.08666883409023285,-0.08031050860881805,0.10678964853286743,-0.017059069126844406,-0.04711329936981201,0.0,0.0
0.149999997,0.011,-0.0089,-0.009,0.0167,-0.0017,0.0004,0.8294,-0.1765,0.0,0.052,-0.1019,0.1719,0.0,0.0,0.0021,-0.0477,-0.08056868612766266,0.07986508309841156,-0.07356981933116913,0.0937572494149208,-0.01616380363702774,-0.046490926295518875,0.0,0.0
