time_sec,hip_L_Joint_pos_rad,hip_R_Joint_pos_rad,thigh_L_Joint_pos_rad,thigh_R_Joint_pos_rad,knee_L_Joint_pos_rad,knee_R_Joint_pos_rad,wheel_L_Joint_pos_rad,wheel_R_Joint_pos_rad,hip_L_Joint_vel_rad/s,hip_R_Joint_vel_rad/s,thigh_L_Joint_vel_rad/s,thigh_R_Joint_vel_rad/s,knee_L_Joint_vel_rad/s,knee_R_Joint_vel_rad/s,wheel_L_Joint_vel_rad/s,wheel_R_Joint_vel_rad/s,hip_L_Joint_actual_torque,hip_R_Joint_actual_torque,thigh_L_Joint_actual_torque,thigh_R_Joint_actual_torque,knee_L_Joint_actual_torque,knee_R_Joint_actual_torque,wheel_L_Joint_actual_torque,wheel_R_Joint_actual_torque,hip_L_Joint_target_pos_rad
121125.325906214,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1233,-0.2358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.043,0.0359,0.0031,0.0044,0.0055,-0.0094,0.0,0.0,-2.6478608194935305e-10
121125.326644479,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1233,-0.2358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.043,0.0359,0.0031,0.0044,0.0055,-0.0094,0.0,0.0,0.005010457678126773
121125.327130244,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1233,-0.2358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.043,0.0359,0.0031,0.0044,0.0055,-0.0094,0.0,0.0,0.010014318642670106
121125.328599822,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1233,-0.2358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.043,0.0359,0.0031,0.0044,0.0055,-0.0094,0.0,0.0,0.015011445445467897
121125.329381388,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1233,-0.2358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.043,0.0359,0.0031,0.0044,0.0055,-0.0094,0.0,0.0,0.020001701087764556
121125.330047599,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1233,-0.2358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.043,0.0359,0.0031,0.0044,0.0055,-0.0094,0.0,0.0,0.02498494875918089
121125.330710724,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1233,-0.2358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.043,0.0359,0.0031,0.0044,0.0055,-0.0094,0.0,0.0,0.029961051841464637
121125.354321991,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1233,-0.2358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.043,0.0359,0.0031,0.0044,0.0055,-0.0094,0.0,0.0,0.03492987391223623
121125.356895926,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1233,-0.2358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.043,0.0359,0.0031,0.0044,0.0055,-0.0094,0.0,0.0,0.039891278748728554
121125.362833915,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1233,-0.2358,0.0,0.0,0.0,1e-04,0.0,0.0,-0.0008,-0.0008,-0.0428,0.0362,-0.0039,0.011,0.0088,-0.0125,0.0,0.0,0.04484513033152182
