time_sec,hip_L_Joint_pos_rad,hip_R_Joint_pos_rad,thigh_L_Joint_pos_rad,thigh_R_Joint_pos_rad,knee_L_Joint_pos_rad,knee_R_Joint_pos_rad,wheel_L_Joint_pos_rad,wheel_R_Joint_pos_rad,hip_L_Joint_vel_rad/s,hip_R_Joint_vel_rad/s,thigh_L_Joint_vel_rad/s,thigh_R_Joint_vel_rad/s,knee_L_Joint_vel_rad/s,knee_R_Joint_vel_rad/s,wheel_L_Joint_vel_rad/s,wheel_R_Joint_vel_rad/s,hip_L_Joint_actual_torque,hip_R_Joint_actual_torque,thigh_L_Joint_actual_torque,thigh_R_Joint_actual_torque,knee_L_Joint_actual_torque,knee_R_Joint_actual_torque,wheel_L_Joint_actual_torque,wheel_R_Joint_actual_torque,hip_L_Joint_target_pos_rad,hip_L_Joint_target_torque
1048.359976567,0.0111,-0.0111,-0.001,0.0039,-0.0017,0.0004,1.1236,-0.2356,-1e-04,-1e-04,0.0025,-0.0182,0.0,-1e-04,1e-04,0.0039,-0.0412,0.0377,-0.0239,0.0536,0.0199,-0.0315,-0.0002,1e-04,2.4894116351648066e-09,0.0
1048.364976567,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,1e-04,1e-04,-0.0014,-0.0056,0.0,1e-04,-0.0004,0.0016,-0.0445,0.0356,0.0294,0.109,-0.008,-0.0642,1e-04,0.0006,0.006004580932220616,-0.03328999
1048.369976567,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,-1e-04,-0.0002,0.0037,-0.0125,0.0,-0.0002,0.0003,0.0015,-0.0402,0.0365,-0.0376,0.0529,0.0262,-0.0306,-0.0002,0.0,0.011984423647176529,-0.015296256
1048.374976566,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,0.0,0.0,-0.0005,-0.0016,0.0,0.0,-1e-04,-0.0003,-0.0469,0.034,0.02,0.0805,-0.0035,-0.0498,1e-04,0.0005,0.017938055197567818,0.0026632717
1048.379976566,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,0.0,0.0,0.0,1e-04,0.0,0.0,0.0,-0.001,-0.0422,0.036,-1e-04,0.051,0.007,-0.0325,0.0,0.0002,0.02386400661389544,0.020514166
1048.384976566,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,0.0,0.0,0.0,1e-04,0.0,0.0,-1e-04,-0.001,-0.042,0.0367,0.0064,0.0026,0.0039,-0.0086,0.0,0.0,0.029760815756319406,0.03829202
1048.389976566,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,0.0,0.0,0.0,1e-04,0.0,0.0,-1e-04,-0.001,-0.042,0.0367,0.0028,0.0045,0.0056,-0.0095,0.0,0.0,0.03562702767541964,0.05598245
1048.394976566,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,0.0,0.0,0.0,1e-04,0.0,0.0,-1e-04,-0.001,-0.042,0.0367,0.003,0.0045,0.0055,-0.0095,0.0,0.0,0.04146119497118314,0.073581085
1048.399976566,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,0.0,-1e-04,0.0,1e-04,0.0,0.0,-1e-04,-0.001,-0.0414,0.037,0.0029,0.0047,0.0056,-0.0096,0.0,0.0,0.04726187815012814,0.091083586
1048.404976566,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,0.0,-0.0002,0.0,1e-04,0.0,0.0,-1e-04,-0.0009,-0.0449,0.0321,0.0034,0.0043,0.0053,-0.0094,0.0,0.0,0.05302764598047777,0.10848563
1048.409976566,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,0.0,-0.0021,0.0,0.0,0.0,0.0,-1e-04,-0.0009,-0.0046,0.0356,0.005,0.002,0.0047,-0.0082,0.0,0.0,0.05875707584529494,0.12578294
1048.414976566,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,0.0119,0.0049,0.0,0.0004,0.0,1e-04,-0.0002,-0.0009,0.0534,0.0382,0.004,0.0021,0.0048,-0.0086,0.0,0.0,0.06444875409349177,0.14297123
1048.419976565,0.0112,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,0.013,0.0,0.0,0.0,0.0,0.0,-0.0002,-0.0009,0.0746,0.0347,0.0047,0.0022,0.0049,-0.0082,0.0,0.0,0.0701012763886269,0.15885626
1048.424976565,0.0113,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,0.0197,0.0,0.0,0.0,0.0,0.0,-0.0002,-0.0009,0.0891,0.0361,0.0025,0.0048,0.0057,-0.0097,0.0,0.0,0.07571324805540458,0.17540383
1048.429976565,0.0114,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,0.0272,0.0,0.0,0.0,0.0,0.0,-0.0002,-0.0009,0.1043,0.036,0.0026,0.005,0.0057,-0.0098,0.0,0.0,0.08128328442378976,0.19126974
1048.434976565,0.0116,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,0.0355,0.0,0.0,0.0,0.0,0.0,-0.0002,-0.0009,0.12,0.0359,0.0031,0.0043,0.0054,-0.0094,0.0,0.0,0.08681001117065476,0.20692985
1048.439976565,0.0118,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,0.0445,0.0,0.0,0.0,0.0,0.0,-0.0002,-0.0009,0.1351,0.0359,0.0027,0.0048,0.0056,-0.0096,0.0,0.0,0.09229206465887294,0.22208004
