time_sec,hip_L_Joint_pos_rad,hip_R_Joint_pos_rad,thigh_L_Joint_pos_rad,thigh_R_Joint_pos_rad,knee_L_Joint_pos_rad,knee_R_Joint_pos_rad,wheel_L_Joint_pos_rad,wheel_R_Joint_pos_rad,hip_L_Joint_vel_rad/s,hip_R_Joint_vel_rad/s,thigh_L_Joint_vel_rad/s,thigh_R_Joint_vel_rad/s,knee_L_Joint_vel_rad/s,knee_R_Joint_vel_rad/s,wheel_L_Joint_vel_rad/s,wheel_R_Joint_vel_rad/s,hip_L_Joint_torque,hip_R_Joint_torque,thigh_L_Joint_torque,thigh_R_Joint_torque,knee_L_Joint_torque,knee_R_Joint_torque,wheel_L_Joint_torque,wheel_R_Joint_torque
1786168466.8507519,0.0111,-0.0111,0.1973,-0.1962,0.3385,-0.3399,1.1686,-0.28,0.0,-0.0001,4.5733,-4.6185,7.7068,-7.7151,0.9924,-0.9818,-0.033299997448921204,0.033309999853372574,0.5212700366973877,-0.5200499892234802,-0.21567989885807037,0.22070986032485962,0.0,0.0
1786168466.8568754,0.0111,-0.0111,0.2203,-0.2194,0.377,-0.3785,1.1735,-0.2849,0.0,-0.0001,4.6013,-4.6492,7.7009,-7.7115,0.9819,-0.9712,-0.033299997448921204,0.033309999853372574,0.44947004318237305,-0.4473801255226135,-0.3305899500846863,0.33614999055862427,0.0,0.0
1786168466.88439,0.0111,-0.0111,0.2432,-0.2426,0.4151,-0.4166,1.1783,-0.2896,0.0,-0.0001,4.5862,-4.6365,7.6157,-7.6285,0.9601,-0.9493,-0.033299997448921204,0.033309999853372574,0.38228005170822144,-0.3790501058101654,-0.436369925737381,0.4421498775482178,0.0,0.0
1786168466.8907702,0.0111,-0.0111,0.2659,-0.2656,0.4524,-0.454,1.1829,-0.2942,0.0,-0.0001,4.5313,-4.5838,7.4581,-7.4728,0.9278,-0.917,-0.033299997448921204,0.033309999853372574,0.3196701109409332,-0.31532010436058044,-0.5325099229812622,0.5387799143791199,0.0,0.0
1786168466.896274,0.0111,-0.0111,0.2881,-0.2881,0.4886,-0.4903,1.1874,-0.2986,0.0,0.0,4.4404,-4.4948,7.2353,-7.2518,0.8863,-0.8754,-0.033299997448921204,0.033299997448921204,0.262160062789917,-0.25672006607055664,-0.6188299059867859,0.6255799531936646,0.0,0.0
1786168466.901539,0.0111,-0.0111,0.3097,-0.3099,0.5234,-0.5252,1.1915,-0.3027,0.0,0.0,4.3173,-4.3732,6.9552,-6.9729,0.8368,-0.8259,-0.033299997448921204,0.033299997448921204,0.2096700519323349,-0.20348012447357178,-0.6952199935913086,0.7023899555206299,0.0,0.0
1786168466.9324975,0.0111,-0.0111,0.3305,-0.3311,0.5566,-0.5585,1.1955,-0.3066,0.0,0.0,4.1659,-4.2227,6.6251,-6.6436,0.7805,-0.7695,-0.033299997448921204,0.033299997448921204,0.16241003572940826,-0.15493009984493256,-0.7618098855018616,0.7693598866462708,0.0,0.0
1786168466.938586,0.0111,-0.0111,0.3505,-0.3513,0.5879,-0.5898,1.1991,-0.3101,0.0,0.0,3.9898,-4.0471,6.2525,-6.2711,0.7185,-0.7074,-0.033299997448921204,0.033299997448921204,0.12002011388540268,-0.11189006268978119,-0.818449854850769,0.8260099291801453,0.0,0.0
1786168466.9445224,0.0111,-0.0111,0.3695,-0.3706,0.6171,-0.6192,1.2023,-0.3133,0.0,0.0,3.7924,-3.8498,5.8441,-5.8623,0.6519,-0.6406,-0.033299997448921204,0.033299997448921204,0.0827600508928299,-0.07372011244297028,-0.8652099370956421,0.8733298778533936,0.0,0.0
1786168466.9761865,0.0111,-0.0111,0.3874,-0.3888,0.6442,-0.6463,1.2052,-0.3162,0.0,0.0,3.5771,-3.634,5.4064,-5.4236,0.5816,-0.5702,-0.033299997448921204,0.033299997448921204,0.050590068101882935,-0.04070008546113968,-0.9027400016784668,0.9107599854469299,0.0,0.0
