time_sec,hip_L_Joint_pos_rad,hip_R_Joint_pos_rad,thigh_L_Joint_pos_rad,thigh_R_Joint_pos_rad,knee_L_Joint_pos_rad,knee_R_Joint_pos_rad,wheel_L_Joint_pos_rad,wheel_R_Joint_pos_rad,hip_L_Joint_vel_rad/s,hip_R_Joint_vel_rad/s,thigh_L_Joint_vel_rad/s,thigh_R_Joint_vel_rad/s,knee_L_Joint_vel_rad/s,knee_R_Joint_vel_rad/s,wheel_L_Joint_vel_rad/s,wheel_R_Joint_vel_rad/s,hip_L_Joint_actual_torque,hip_R_Joint_actual_torque,thigh_L_Joint_actual_torque,thigh_R_Joint_actual_torque,knee_L_Joint_actual_torque,knee_R_Joint_actual_torque,wheel_L_Joint_actual_torque,wheel_R_Joint_actual_torque,hip_L_Joint_target_pos_rad,hip_L_Joint_target_torque
724.339983809,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1233,-0.2358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.043,0.0359,0.0031,0.0044,0.0055,-0.0094,0.0,0.0,2.4894116351648066e-09,-0.03329999
724.344983809,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1233,-0.2358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.043,0.0359,0.0031,0.0044,0.0055,-0.0094,0.0,0.0,0.002004185719715737,-0.027287442
724.349983809,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1233,-0.2358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.043,0.0359,0.0031,0.0044,0.0055,-0.0094,0.0,0.0,0.004005730158436013,-0.021282809
724.354983809,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1233,-0.2358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.043,0.0359,0.0031,0.0044,0.0055,-0.0094,0.0,0.0,0.006004580932220616,-0.015286257
724.359983809,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1233,-0.2358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.043,0.0359,0.0031,0.0044,0.0055,-0.0094,0.0,0.0,0.008000683241565845,-0.009297949
724.364983809,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1233,-0.2358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.043,0.0359,0.0031,0.0044,0.0055,-0.0094,0.0,0.0,0.009993982362318576,-0.0033180523
724.369983809,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1233,-0.2358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.043,0.0359,0.0031,0.0044,0.0055,-0.0094,0.0,0.0,0.011984423647176529,0.0026532717
724.374983808,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1233,-0.2358,0.0,0.0,0.0,1e-04,0.0,0.0,-0.0008,-0.0008,-0.0433,0.0358,-0.0039,0.0109,0.0088,-0.0125,0.0,0.0,0.013971952527186388,0.008615858
724.379983808,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1233,-0.2358,0.0,0.0,0.0,1e-04,0.0,0.0,-0.0008,-0.0008,-0.0423,0.0363,0.0035,0.0046,0.0053,-0.0096,0.0,0.0,0.01595651451323994,0.014569544
724.384983808,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1233,-0.2358,0.0,0.0,0.0,1e-04,0.0,0.0,-0.0008,-0.0008,-0.0426,0.0361,0.0031,0.0044,0.0055,-0.0094,0.0,0.0,0.017938055197567818,0.020514166
724.389983808,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1233,-0.2358,0.0,0.0,0.0,1e-04,0.0,0.0,-0.0008,-0.0008,-0.0426,0.0361,0.0031,0.0044,0.0055,-0.0094,0.0,0.0,0.019916520255231177,0.026449561
724.394983808,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1233,-0.2358,0.0,0.0,0.0,1e-04,0.0,0.0,-0.0008,-0.0008,-0.0426,0.0361,0.0029,0.0046,0.0056,-0.0096,0.0,0.0,0.02189185544561109,0.032375567
724.399983808,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1233,-0.2358,0.0,0.0,0.0,1e-04,0.0,0.0,-0.0009,-0.0008,-0.0427,0.0361,0.003,0.0045,0.0055,-0.0095,0.0,0.0,0.02386400661389544,0.03829202
