time_sec,hip_L_Joint_pos_rad,hip_R_Joint_pos_rad,thigh_L_Joint_pos_rad,thigh_R_Joint_pos_rad,knee_L_Joint_pos_rad,knee_R_Joint_pos_rad,wheel_L_Joint_pos_rad,wheel_R_Joint_pos_rad,hip_L_Joint_vel_rad/s,hip_R_Joint_vel_rad/s,thigh_L_Joint_vel_rad/s,thigh_R_Joint_vel_rad/s,knee_L_Joint_vel_rad/s,knee_R_Joint_vel_rad/s,wheel_L_Joint_vel_rad/s,wheel_R_Joint_vel_rad/s,hip_L_Joint_actual_torque,hip_R_Joint_actual_torque,thigh_L_Joint_actual_torque,thigh_R_Joint_actual_torque,knee_L_Joint_actual_torque,knee_R_Joint_actual_torque,wheel_L_Joint_actual_torque,wheel_R_Joint_actual_torque,hip_L_Joint_target_pos_rad
121651.577588395,0.0111,-0.0111,-0.001,0.0039,-0.0017,0.0004,1.1236,-0.2356,-1e-04,-1e-04,0.0025,-0.0182,0.0,-1e-04,1e-04,0.0039,-0.0412,0.0377,-0.0239,0.0536,0.0199,-0.0315,-0.0002,1e-04,-1.3239304097467652e-10
121651.600492661,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,1e-04,1e-04,-0.0014,-0.0056,0.0,1e-04,-0.0004,0.0016,-0.0445,0.0356,0.0294,0.109,-0.008,-0.0642,1e-04,0.0006,0.0025052288390633864
121651.605598234,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,-1e-04,-0.0002,0.0037,-0.0125,0.0,-0.0002,0.0003,0.0015,-0.0402,0.0365,-0.0376,0.0529,0.0262,-0.0306,-0.0002,0.0,0.005007159321335053
121651.611200336,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,0.0,0.0,-0.0005,-0.0016,0.0,0.0,-1e-04,-0.0003,-0.0469,0.034,0.02,0.0805,-0.0035,-0.0498,1e-04,0.0005,0.0075057227227339485
121651.707399844,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,0.0,0.0,0.0,1e-04,0.0,0.0,0.0,-0.001,-0.0427,0.0356,-1e-04,0.051,0.007,-0.0325,0.0,0.0002,0.010000850543882278
121651.713450724,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,0.0,0.0,0.0,1e-04,0.0,0.0,-1e-04,-0.001,-0.0427,0.0362,0.0064,0.0026,0.0039,-0.0086,0.0,0.0,0.012492474379590446
121651.719042646,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,0.0,0.0,0.0,1e-04,0.0,0.0,-1e-04,-0.001,-0.0424,0.0364,0.0028,0.0045,0.0056,-0.0095,0.0,0.0,0.014980525920732318
121651.743321343,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,0.0,0.0,0.0,1e-04,0.0,0.0,-1e-04,-0.001,-0.0427,0.0362,0.003,0.0045,0.0055,-0.0095,0.0,0.0,0.017464936956118116
121651.748873325,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,0.0,0.0,0.0,1e-04,0.0,0.0,-1e-04,-0.001,-0.0425,0.0363,0.0028,0.0047,0.0056,-0.0096,0.0,0.0,0.019945639374364277
121651.754711646,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,0.0,0.0,0.0,1e-04,0.0,0.0,-1e-04,-0.0009,-0.0424,0.0364,0.003,0.0045,0.0055,-0.0095,0.0,0.0,0.02242256516576091
121651.760625817,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,0.0,0.0,0.0,1e-04,0.0,0.0,-1e-04,-0.0009,-0.0425,0.0363,0.0029,0.0047,0.0056,-0.0096,0.0,0.0,0.02489564642413622
121651.807539183,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,0.0,0.0,0.0,1e-04,0.0,0.0,-1e-04,-0.0009,-0.0425,0.0363,0.003,0.0045,0.0055,-0.0095,0.0,0.0,0.027364815348718236
121651.81287332,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,0.0,0.0,0.0,1e-04,0.0,0.0,-0.0002,-0.0009,-0.0428,0.0361,0.003,0.0045,0.0055,-0.0095,0.0,0.0,0.029830004245993552
121651.818620002,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,0.0,-1e-04,0.0,1e-04,0.0,0.0,-0.0002,-0.0009,-0.0417,0.0367,0.0029,0.0046,0.0056,-0.0096,0.0,0.0,0.03229114553156337
121651.875231643,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,0.0,-1e-04,0.0,1e-04,0.0,0.0,-0.0002,-0.0009,-0.0418,0.0367,0.003,0.0046,0.0055,-0.0095,0.0,0.0,0.03474817173199607
121651.880400113,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,0.0,0.0,0.0,1e-04,0.0,0.0,-0.0002,-0.0009,-0.0439,0.0358,0.0029,0.0047,0.0056,-0.0096,0.0,0.0,0.03720101548667715
121651.885834924,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,0.0,0.0,0.0,1e-04,0.0,0.0,-0.0002,-0.0009,-0.0491,0.0309,0.0041,0.0029,0.005,-0.0087,0.0,0.0,0.03964960954965613
121651.917839303,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,0.0,0.0,0.0,1e-04,0.0,0.0,-0.0002,-0.0009,-0.0414,0.0379,0.0038,0.0032,0.0052,-0.0089,0.0,0.0,0.04209388679148979
121651.925317829,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,0.0,-0.0003,0.0,1e-04,0.0,0.0,-0.0002,-0.0009,-0.0351,0.0378,0.0035,0.004,0.0053,-0.0092,0.0,0.0,0.04453378020108287
121651.931885239,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,0.0119,0.0076,0.0,0.0006,0.0,1e-04,-0.0003,-0.0009,0.0308,0.032,0.0026,0.0035,0.0054,-0.0093,0.0,0.0,0.046969222887525
121651.937261492,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,0.0144,0.006,0.0,0.0005,0.0,1e-04,-0.0003,-0.0009,0.0416,0.0383,0.0042,0.0036,0.005,-0.009,0.0,0.0,0.04940014808192478
121651.965071603,0.0112,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,0.0132,0.0,0.0,0.0,0.0,0.0,-0.0003,-0.0008,0.0501,0.0356,0.0052,0.0019,0.0047,-0.008,0.0,0.0,0.051826489139239845
121651.970536715,0.0113,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,0.0181,0.0,0.0,0.0,0.0,0.0,-0.0003,-0.0008,0.0534,0.0361,0.0023,0.0051,0.0058,-0.0098,0.0,0.0,0.05424817954010466
121651.975866401,0.0114,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,0.0233,0.0,0.0,0.0,0.0,0.0,-0.0003,-0.0008,0.06,0.036,0.0028,0.0048,0.0056,-0.0096,0.0,0.0,0.05666515289265345
121652.000818999,0.0116,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,0.0289,0.0,0.0,0.0,0.0,0.0,-0.0003,-0.0008,0.0667,0.0359,0.0031,0.0043,0.0055,-0.0094,0.0,0.0,0.05907734293434086
121652.009191967,0.0117,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,0.0347,0.0,0.0,0.0,0.0,0.0,-0.0003,-0.0008,0.0727,0.0359,0.0027,0.0047,0.0056,-0.0096,0.0,0.0,0.06148468353375841
121652.014866765,0.0119,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,0.0408,0.0,0.0,0.0,0.0,0.0,-0.0004,-0.0008,0.0786,0.0359,0.003,0.0044,0.0055,-0.0095,0.0,0.0,0.06388710869244749
121652.042924215,0.0122,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,0.0472,0.0,0.0,0.0,0.0,0.0,-0.0004,-0.0008,0.0843,0.036,0.0027,0.0048,0.0057,-0.0097,0.0,0.0,0.06628455254670879
121652.048720693,0.0125,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,0.0539,0.0,0.0,0.0,0.0,0.0,-0.0004,-0.0008,0.0901,0.0359,0.0033,0.004,0.0054,-0.0093,0.0,0.0,0.06867694936940799
121652.054262747,0.0128,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,0.0608,0.0,0.0,0.0,0.0,0.0,-0.0004,-0.0008,0.0956,0.0359,0.0025,0.0051,0.0058,-0.0098,0.0,0.0,0.07106423357177769
121652.059813127,0.0131,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,0.0679,0.0,0.0,0.0,0.0,0.0,-0.0004,-0.0008,0.1008,0.0359,0.003,0.0044,0.0055,-0.0094,0.0,0.0,0.07344633970521555
