time_sec,hip_L_Joint_pos_rad,hip_R_Joint_pos_rad,thigh_L_Joint_pos_rad,thigh_R_Joint_pos_rad,knee_L_Joint_pos_rad,knee_R_Joint_pos_rad,wheel_L_Joint_pos_rad,wheel_R_Joint_pos_rad,hip_L_Joint_vel_rad/s,hip_R_Joint_vel_rad/s,thigh_L_Joint_vel_rad/s,thigh_R_Joint_vel_rad/s,knee_L_Joint_vel_rad/s,knee_R_Joint_vel_rad/s,wheel_L_Joint_vel_rad/s,wheel_R_Joint_vel_rad/s,hip_L_Joint_torque,hip_R_Joint_torque,thigh_L_Joint_torque,thigh_R_Joint_torque,knee_L_Joint_torque,knee_R_Joint_torque,wheel_L_Joint_torque,wheel_R_Joint_torque
1786170554.0364647,0.0111,-0.0111,-0.001,0.0039,-0.0017,0.0004,1.1236,-0.2356,-0.0001,-0.0001,0.0025,-0.0181,0.0,-0.0001,0.0001,0.0038,-0.03328999876976013,0.033309999853372574,1.5732500553131104,-1.5803900957107544,1.575600028038025,-1.5716900825500488,0.0,0.0
1786170554.0377352,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2356,-0.0001,-0.0001,0.0036,-0.0177,0.0,-0.0001,0.0003,0.0032,-0.03328999876976013,0.033309999853372574,1.573140025138855,-1.5801299810409546,1.575600028038025,-1.5716900825500488,0.0,0.0
1786170554.0387542,0.0111,-0.0111,-0.001,0.0038,-0.0017,0.0004,1.1236,-0.2355,0.0001,0.0,-0.0019,-0.0054,0.0,0.0001,-0.0002,0.0015,-0.033309999853372574,0.033299997448921204,1.5736900568008423,-1.5813599824905396,1.575600028038025,-1.5717101097106934,0.0,0.0
1786170554.043403,0.0111,-0.0111,0.0015,0.0012,0.0026,-0.004,1.1242,-0.2361,0.0,0.0,0.5022,-0.5132,0.8706,-0.8703,0.1164,-0.1138,-0.033299997448921204,0.033299997448921204,1.5157800912857056,-1.522780179977417,1.475640058517456,-1.4714699983596802,0.0,0.0
1786170554.1347296,0.0111,-0.0111,0.0064,-0.0037,0.011,-0.0123,1.1253,-0.2372,0.0,0.0,0.9704,-0.9842,1.679,-1.6779,0.224,-0.2203,-0.033299997448921204,0.033299997448921204,1.4542601108551025,-1.4609800577163696,1.3696001768112183,-1.3658100366592407,0.0,0.0
1786170554.1409318,0.0111,-0.0111,0.0134,-0.0108,0.0231,-0.0245,1.1269,-0.2388,0.0,0.0,1.4061,-1.4227,2.4282,-2.4266,0.3231,-0.3184,-0.033299997448921204,0.033299997448921204,1.3896900415420532,-1.3958300352096558,1.2583800554275513,-1.2543400526046753,0.0,0.0
1786170554.1461887,0.0111,-0.0111,0.0223,-0.0198,0.0385,-0.0398,1.129,-0.2408,0.0,0.0,1.784,-1.803,3.0718,-3.0695,0.4072,-0.4015,-0.033299997448921204,0.033299997448921204,1.325200080871582,-1.3308000564575195,1.147819995880127,-1.1441501379013062,0.0,0.0
1786170554.1728137,0.0111,-0.0111,0.0329,-0.0304,0.0566,-0.0579,1.1314,-0.2432,0.0,0.0,2.1058,-2.1271,3.6132,-3.6104,0.4767,-0.47,-0.033299997448921204,0.033299997448921204,1.261220097541809,-1.2665899991989136,1.0393800735473633,-1.0357600450515747,0.0,0.0
1786170554.1791382,0.0111,-0.0111,0.0447,-0.0424,0.0768,-0.0781,1.134,-0.2458,0.0,0.0,2.3737,-2.397,4.0559,-4.0525,0.532,-0.5246,-0.033299997448921204,0.033299997448921204,1.1990300416946411,-1.2036000490188599,0.9345101118087769,-0.9309501051902771,0.0,0.0
1786170554.1854806,0.0111,-0.0111,0.0577,-0.0555,0.0989,-0.1001,1.1369,-0.2486,0.0,0.0,2.591,-2.6163,4.4063,-4.4026,0.5742,-0.5661,-0.033299997448921204,0.033299997448921204,1.1383000612258911,-1.1423701047897339,0.8331701159477234,-0.8299400806427002,0.0,0.0
1786170554.1905034,0.0111,-0.0111,0.0715,-0.0695,0.1222,-0.1235,1.1399,-0.2516,0.0,0.0,2.7615,-2.7886,4.6712,-4.6674,0.6041,-0.5954,-0.033299997448921204,0.033299997448921204,1.0798500776290894,-1.0831401348114014,0.736780047416687,-0.7332600951194763,0.0,0.0
1786170554.220016,0.0111,-0.0111,0.0859,-0.0841,0.1465,-0.1477,1.143,-0.2547,0.0,0.0,2.8893,-2.9181,4.858,-4.8541,0.6229,-0.6136,-0.033299997448921204,0.033299997448921204,1.0238699913024902,-1.0263900756835938,0.6452001333236694,-0.6419900059700012,0.0,0.0
1786170554.2261403,0.0111,-0.0111,0.1008,-0.0991,0.1714,-0.1726,1.1462,-0.2578,0.0,0.0,2.9781,-3.0084,4.9737,-4.97,0.6315,-0.6218,-0.033299997448921204,0.033299997448921204,0.9702900648117065,-0.9723600745201111,0.5589300394058228,-0.5557000637054443,0.0,0.0
1786170554.2309885,0.0111,-0.0111,0.116,-0.1144,0.1965,-0.1977,1.1493,-0.2609,0.0,0.0,3.0319,-3.0637,5.0257,-5.0222,0.6311,-0.621,-0.033299997448921204,0.033299997448921204,0.9193100929260254,-0.9209300875663757,0.4784300625324249,-0.47518008947372437,0.0,0.0
1786170554.2580333,0.0111,-0.0111,0.1313,-0.1299,0.2216,-0.2228,1.1525,-0.2639,0.0,0.0,3.0547,-3.0877,5.0213,-5.0181,0.6226,-0.6122,-0.033299997448921204,0.033299997448921204,0.871130108833313,-0.8720301389694214,0.40357011556625366,-0.40029004216194153,0.0,0.0
1786170554.26393,0.0111,-0.0111,0.1465,-0.1453,0.2465,-0.2476,1.1555,-0.2669,0.0,0.0,3.0501,-3.0843,4.9674,-4.9645,0.6072,-0.5965,-0.033299997448921204,0.033299997448921204,0.8259900808334351,-0.8261700868606567,0.3342600166797638,-0.33125001192092896,0.0,0.0
1786170554.269161,0.0111,-0.0111,0.1616,-0.1606,0.2708,-0.272,1.1584,-0.2698,0.0,0.0,3.0217,-3.0571,4.8707,-4.8683,0.5857,-0.5748,-0.033299997448921204,0.033299997448921204,0.7835301160812378,-0.782990038394928,0.27103009819984436,-0.26767003536224365,0.0,0.0
1786170554.2978914,0.0111,-0.0111,0.1765,-0.1756,0.2945,-0.2956,1.1612,-0.2725,0.0,0.0,2.973,-3.0093,4.7378,-4.7357,0.5591,-0.5481,-0.033299997448921204,0.033299997448921204,0.7437000870704651,-0.7427700757980347,0.21322008967399597,-0.21013006567955017,0.0,0.0
1786170554.3072524,0.0111,-0.0111,0.1911,-0.1903,0.3174,-0.3185,1.1639,-0.2751,0.0,0.0,2.9071,-2.9442,4.5744,-4.5727,0.5284,-0.5173,-0.033299997448921204,0.033299997448921204,0.7064900994300842,-0.7051801085472107,0.1608600616455078,-0.15773004293441772,0.0,0.0
1786170554.3107135,0.0111,-0.0111,0.2052,-0.2047,0.3393,-0.3404,1.1663,-0.2775,0.0,0.0,2.827,-2.8647,4.3862,-4.3848,0.4943,-0.4831,-0.033299997448921204,0.033299997448921204,0.6722000241279602,-0.669930100440979,0.11398006230592728,-0.11082004755735397,0.0,0.0
1786170554.3177598,0.0111,-0.0111,0.2189,-0.2185,0.3602,-0.3613,1.1686,-0.2798,0.0,0.0,2.7353,-2.7735,4.1782,-4.177,0.4576,-0.4463,-0.033299997448921204,0.033299997448921204,0.6402701139450073,-0.6376500129699707,0.07208013534545898,-0.06890009343624115,0.0,0.0
1786170554.344652,0.0111,-0.0111,0.2321,-0.2319,0.38,-0.3811,1.1707,-0.2818,0.0,0.0,2.6343,-2.6729,3.9547,-3.9538,0.419,-0.4076,-0.033299997448921204,0.033299997448921204,0.610770046710968,-0.6075100898742676,0.03503008931875229,-0.03182008117437363,0.0,0.0
1786170554.35029,0.0111,-0.0111,0.2447,-0.2447,0.3986,-0.3997,1.1726,-0.2837,0.0,0.0,2.5262,-2.5651,3.7199,-3.7191,0.379,-0.3675,-0.033299997448921204,0.033299997448921204,0.58378005027771,-0.5798900127410889,0.0027100504375994205,0.0005098819965496659,0.0,0.0
1786170554.3555663,0.0111,-0.0111,0.2568,-0.257,0.416,-0.4171,1.1743,-0.2853,0.0,0.0,2.413,-2.4519,3.4774,-3.4765,0.3381,-0.3267,-0.033299997448921204,0.033299997448921204,0.5588001012802124,-0.5543100833892822,-0.025239955633878708,0.02844996377825737,0.0,0.0
1786170554.3824081,0.0111,-0.0111,0.2682,-0.2687,0.4321,-0.4332,1.1758,-0.2867,0.0,0.0,2.2962,-2.3351,3.2301,-3.2292,0.2969,-0.2854,-0.033299997448921204,0.033299997448921204,0.5362800359725952,-0.5308900475502014,-0.04880990833044052,0.05201991647481918,0.0,0.0
1786170554.3877876,0.0111,-0.0111,0.2791,-0.2798,0.447,-0.4481,1.1771,-0.2879,0.0,0.0,2.1773,-2.2161,2.981,-2.9799,0.2557,-0.2442,-0.033299997448921204,0.033299997448921204,0.5154700875282288,-0.5094900727272034,-0.06859990954399109,0.07178991287946701,0.0,0.0
1786170554.3938987,0.0111,-0.0111,0.2894,-0.2903,0.4607,-0.4618,1.1782,-0.289,0.0,0.0,2.0576,-2.0961,2.7322,-2.7308,0.2149,-0.2034,-0.033299997448921204,0.033299997448921204,0.49654003977775574,-0.4899900257587433,-0.08481992781162262,0.08797994256019592,0.0,0.0
1786170554.4238994,0.0111,-0.0111,0.2991,-0.3001,0.4731,-0.4742,1.179,-0.2898,0.0,0.0,1.9382,-1.9763,2.4859,-2.4842,0.1748,-0.1633,-0.033299997448921204,0.033299997448921204,0.4793800413608551,-0.4725700914859772,-0.09738993644714355,0.10051995515823364,0.0,0.0
1786170554.4302714,0.0111,-0.0111,0.3082,-0.3094,0.4844,-0.4854,1.1797,-0.2904,0.0,0.0,1.82,-1.8576,2.2438,-2.2417,0.1356,-0.1242,-0.033299997448921204,0.033299997448921204,0.46390005946159363,-0.4565401077270508,-0.10707993060350418,0.10986988991498947,0.0,0.0
1786170554.4358666,0.0111,-0.0111,0.3167,-0.3181,0.4944,-0.4955,1.1802,-0.2908,0.0,0.0,1.7038,-1.7409,2.0073,-2.0047,0.0975,-0.0861,-0.033299997448921204,0.033299997448921204,0.45002004504203796,-0.4421100616455078,-0.11342989653348923,0.11646991223096848,0.0,0.0
1786170554.4419239,0.0111,-0.0111,0.3247,-0.3263,0.5033,-0.5043,1.1805,-0.2911,0.0,0.0,1.5904,-1.6268,1.7777,-1.7747,0.0608,-0.0495,-0.033299997448921204,0.033299997448921204,0.43736007809638977,-0.42892009019851685,-0.11716995388269424,0.11986992508172989,0.0,0.0
1786170554.4686155,0.0111,-0.0111,0.3321,-0.3339,0.5111,-0.5121,1.1806,-0.2911,0.0,0.0,1.4801,-1.5159,1.5558,-1.5525,0.0254,-0.0142,-0.033299997448921204,0.033299997448921204,0.426190048456192,-0.41721007227897644,-0.11837990581989288,0.12104986608028412,0.0,0.0
1786170554.4738543,0.0111,-0.0111,0.339,-0.3409,0.5178,-0.5188,1.1806,-0.2911,0.0,0.0,1.3736,-1.4086,1.3427,-1.339,-0.0083,0.0194,-0.033299997448921204,0.033299997448921204,0.4161401093006134,-0.4069400727748871,-0.11716984212398529,0.11979998648166656,0.0,0.0
1786170554.4794436,0.0111,-0.0111,0.3453,-0.3474,0.5235,-0.5245,1.1804,-0.2908,0.0,0.0,1.2712,-1.3054,1.139,-1.135,-0.0404,0.0514,-0.033299997448921204,0.033299997448921204,0.4074801206588745,-0.3977600336074829,-0.11390000581741333,0.11649996042251587,0.0,0.0
1786170554.5048974,0.0111,-0.0111,0.3512,-0.3535,0.5282,-0.5292,1.18,-0.2904,0.0,0.0,1.1732,-1.2067,0.9452,-0.9408,-0.0707,0.0815,-0.033299997448921204,0.033299997448921204,0.3995800316333771,-0.38933005928993225,-0.10861983895301819,0.11117997765541077,0.0,0.0
1786170554.5112784,0.0111,-0.0111,0.3566,-0.359,0.532,-0.533,1.1795,-0.2898,0.0,0.0,1.0799,-1.1126,0.7618,-0.7572,-0.0993,0.1099,-0.033299997448921204,0.033299997448921204,0.3927101194858551,-0.38224008679389954,-0.10167993605136871,0.10421989858150482,0.0,0.0
1786170554.5172415,0.0111,-0.0111,0.3616,-0.3642,0.535,-0.5359,1.1789,-0.2892,0.0,0.0,0.9915,-1.0233,0.5891,-0.5842,-0.126,0.1365,-0.033299997448921204,0.033299997448921204,0.38655003905296326,-0.3755700886249542,-0.09341000020503998,0.09561991691589355,0.0,0.0
1786170554.5463648,0.0111,-0.0111,0.3661,-0.3689,0.5371,-0.538,1.1782,-0.2884,0.0,0.0,0.9081,-0.9391,0.4274,-0.4222,-0.1509,0.1611,-0.033299997448921204,0.033299997448921204,0.3813900351524353,-0.3698900640010834,-0.08353997766971588,0.08571988344192505,0.0,0.0
1786170554.551533,0.0111,-0.0111,0.3703,-0.3732,0.5385,-0.5393,1.1773,-0.2874,0.0,0.0,0.8299,-0.8599,0.2766,-0.2712,-0.1739,0.1839,-0.033299997448921204,0.033299997448921204,0.3766101002693176,-0.3649100661277771,-0.07265995442867279,0.07451999932527542,0.0,0.0
1786170554.5575392,0.0111,-0.0111,0.374,-0.3771,0.5392,-0.54,1.1763,-0.2864,0.0,0.0,0.7567,-0.7859,0.1368,-0.1313,-0.195,0.2048,-0.033299997448921204,0.033299997448921204,0.37283003330230713,-0.36061009764671326,-0.06077994778752327,0.06262999027967453,0.0,0.0
1786170554.5629482,0.0111,-0.0111,0.3775,-0.3807,0.5392,-0.54,1.1752,-0.2853,0.0,0.0,0.6847,-0.7157,0.0,0.0,-0.2156,0.2242,-0.033299997448921204,0.033299997448921204,0.3695300817489624,-0.35683009028434753,-0.047099947929382324,0.0494999885559082,0.0,0.0
1786170554.5885024,0.0111,-0.0111,0.3807,-0.384,0.5388,-0.5396,1.1741,-0.2841,0.0,0.0,0.6389,-0.669,-0.0828,0.0829,-0.2273,0.2357,-0.033299997448921204,0.033299997448921204,0.36451008915901184,-0.3516000509262085,-0.037619926035404205,0.04000996798276901,0.0,0.0
1786170554.594245,0.0111,-0.0111,0.3837,-0.3872,0.538,-0.5388,1.1729,-0.2829,0.0,0.0,0.5971,-0.6261,-0.1569,0.1573,-0.2376,0.2457,-0.033299997448921204,0.033299997448921204,0.3596900403499603,-0.34629008173942566,-0.027809886261820793,0.030169928446412086,0.0,0.0
1786170554.5994272,0.0111,-0.0111,0.3865,-0.3901,0.5369,-0.5377,1.1717,-0.2816,0.0,0.0,0.5592,-0.5871,-0.2221,0.2229,-0.2463,0.2542,-0.033299997448921204,0.033299997448921204,0.3550800681114197,-0.3414900600910187,-0.017989875748753548,0.020309915766119957,0.0,0.0
1786170554.626093,0.0111,-0.0111,0.3891,-0.3928,0.5355,-0.5363,1.1704,-0.2803,0.0,0.0,0.5243,-0.5509,-0.2807,0.2819,-0.2539,0.2614,-0.033299997448921204,0.033299997448921204,0.35077011585235596,-0.33701005578041077,-0.007929894141852856,0.01020993571728468,0.0,0.0
1786170554.6316772,0.0111,-0.0111,0.3915,-0.3954,0.5338,-0.5346,1.1691,-0.279,0.0,0.0,0.492,-0.5175,-0.3329,0.3344,-0.2602,0.2675,-0.033299997448921204,0.033299997448921204,0.3468000888824463,-0.3325501084327698,0.002390056848526001,-0.0001400172768626362,0.0,0.0
1786170554.6372428,0.0111,-0.0111,0.3939,-0.3979,0.5319,-0.5327,1.1678,-0.2776,0.0,0.0,0.4624,-0.4867,-0.3788,0.3807,-0.2655,0.2725,-0.033299997448921204,0.033299997448921204,0.3425600528717041,-0.3281301259994507,0.012680110521614552,-0.010470068082213402,0.0,0.0
1786170554.6636355,0.0111,-0.0111,0.396,-0.4002,0.5298,-0.5306,1.1664,-0.2762,0.0,0.0,0.4353,-0.4584,-0.4188,0.4209,-0.2696,0.2763,-0.033299997448921204,0.033299997448921204,0.3389700949192047,-0.3240600526332855,0.022980082780122757,-0.020790040493011475,0.0,0.0
1786170554.6692328,0.0111,-0.0111,0.3981,-0.4023,0.5276,-0.5283,1.1651,-0.2748,0.0,0.0,0.4107,-0.4325,-0.4529,0.4554,-0.2727,0.2791,-0.033299997448921204,0.033299997448921204,0.33513009548187256,-0.3203500807285309,0.03299010545015335,-0.03114011324942112,0.0,0.0
1786170554.6754565,0.0111,-0.0111,0.4,-0.4044,0.5251,-0.5259,1.1637,-0.2734,0.0,0.0,0.3883,-0.4089,-0.4816,0.4843,-0.2747,0.2808,-0.033299997448921204,0.033299997448921204,0.33167004585266113,-0.316410094499588,0.04336009547114372,-0.041230056434869766,0.0,0.0
1786170554.6811564,0.0111,-0.0111,0.4019,-0.4063,0.5226,-0.5234,1.1623,-0.272,0.0,0.0,0.3681,-0.3874,-0.505,0.508,-0.2758,0.2816,-0.033299997448921204,0.033299997448921204,0.3279900848865509,-0.31286004185676575,0.05320008844137192,-0.051100052893161774,0.0,0.0
1786170554.711075,0.0111,-0.0111,0.4036,-0.4082,0.52,-0.5207,1.1609,-0.2706,0.0,0.0,0.3499,-0.368,-0.5236,0.5266,-0.276,0.2814,-0.033299997448921204,0.033299997448921204,0.32471004128456116,-0.30910009145736694,0.06286013126373291,-0.061060141772031784,0.0,0.0
1786170554.7141201,0.0111,-0.0111,0.4053,-0.4099,0.5173,-0.518,1.1596,-0.2692,0.0,0.0,0.3337,-0.3505,-0.5373,0.5406,-0.2752,0.2803,-0.033299997448921204,0.033299997448921204,0.32123011350631714,-0.3057500422000885,0.072330042719841,-0.07056005299091339,0.0,0.0
1786170554.7194827,0.0111,-0.0111,0.4069,-0.4116,0.5146,-0.5153,1.1582,-0.2678,0.0,0.0,0.3191,-0.3348,-0.5467,0.5502,-0.2737,0.2784,-0.033299997448921204,0.033299997448921204,0.31789010763168335,-0.30222010612487793,0.08137013763189316,-0.07962014526128769,0.0,0.0
1786170554.74725,0.0111,-0.0111,0.4084,-0.4132,0.5118,-0.5125,1.1568,-0.2664,0.0,0.0,0.3062,-0.3206,-0.552,0.5556,-0.2713,0.2757,-0.033299997448921204,0.033299997448921204,0.3146800696849823,-0.29884010553359985,0.09030009806156158,-0.08856011182069778,0.0,0.0
1786170554.7533865,0.0111,-0.0111,0.4099,-0.4147,0.5091,-0.5097,1.1555,-0.2651,0.0,0.0,0.2947,-0.3079,-0.5536,0.5572,-0.2682,0.2722,-0.033299997448921204,0.033299997448921204,0.31133005023002625,-0.29561007022857666,0.09856002032756805,-0.09712007641792297,0.0,0.0
1786170554.758787,0.0111,-0.0111,0.4113,-0.4162,0.5063,-0.5069,1.1542,-0.2637,0.0,0.0,0.2845,-0.2965,-0.5517,0.5553,-0.2645,0.2681,-0.033299997448921204,0.033299997448921204,0.308150053024292,-0.29225003719329834,0.10677015781402588,-0.10533003509044647,0.0,0.0
