timestamp_sec,agent_step,agent_time,vel_x,vel_y,vel_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,torque_cmd_0,torque_cmd_1,torque_cmd_2,torque_cmd_3,torque_cmd_4,torque_cmd_5,torque_cmd_6,torque_cmd_7
1775543806.1728892,1,0.014956851,0.0,0.0,0.0,0.0006981317007977319,0.04921828490624009,-0.0005235987755982988,-0.9918,0.017,0.0014,-0.1267,-0.00012217304763960032,-0.02450442269800038,0.005694136684631701,0.04871737541091914,-0.022706733568446213,0.18703820928997217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0694157195401236,-0.1,-0.1,0.1,0.08983813974475244,-0.1,0.0,0.0
1775543806.1847494,2,0.026162801000000003,0.0,0.0,0.0,0.0006981317007977319,0.04066617157146788,0.0015707963267948964,-0.9906,0.017,0.0012,-0.1356,-0.00012217304763960032,-0.02450442269800038,0.005711589977151377,0.048699922118398575,-0.022706733568446213,0.18703820928997217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,-0.1,-0.1,0.1,0.1,-0.1,0.0,0.0
1775543806.193682,3,0.034609929000000005,0.0,0.0,0.0,-0.00034906585039886593,0.035255650890285456,0.0015707963267948964,-0.9905,0.017,0.001,-0.1362,-0.00012217304763960032,-0.02450442269800038,0.005711589977151377,0.048699922118398575,-0.022706733568446213,0.18703820928997217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,-0.1,-0.1,0.1,0.1,-0.1,0.0,0.0
1775543806.2042916,4,0.045404467000000004,0.0,0.0,0.0,0.0006981317007977319,0.032114058236695664,-0.0005235987755982988,-0.9911,0.017,0.0008,-0.1321,-0.00012217304763960032,-0.02450442269800038,0.005711589977151377,0.048699922118398575,-0.022706733568446213,0.18703820928997217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.096622680755036,-0.1,-0.1,0.1,0.1,-0.1,0.0,0.0
1775543806.2137606,5,0.054686548,0.0,0.0,0.0,0.0019198621771937625,0.026878070480712675,-0.0005235987755982988,-0.9907,0.017,0.0007,-0.1351,-0.00012217304763960032,-0.02450442269800038,0.005711589977151377,0.048699922118398575,-0.022706733568446213,0.18703820928997217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,-0.1,-0.1,0.1,0.1,-0.1,0.0,0.0
1775543806.224101,6,0.065087435,0.0,0.0,0.0,-0.00034906585039886593,0.01937315469713706,0.0005235987755982988,-0.9902,0.0171,0.0007,-0.1386,-0.00012217304763960032,-0.02450442269800038,0.005711589977151377,0.048699922118398575,-0.022706733568446213,0.18703820928997217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,-0.1,-0.1,0.1,0.1,-0.1,0.0,0.0
1775543806.2335489,7,0.074561973,0.0,0.0,0.0,0.0006981317007977319,0.012915436464758038,-0.0005235987755982988,-0.9905,0.0171,0.0006,-0.1367,-0.00012217304763960032,-0.02450442269800038,0.005711589977151377,0.048699922118398575,-0.022706733568446213,0.18703820928997217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,-0.1,-0.1,0.1,0.1,-0.1,0.0,0.0
1775543806.2436166,8,0.08445166700000001,0.0,0.0,0.0,-0.00034906585039886593,0.008726646259971648,0.0005235987755982988,-0.9898,0.0171,0.0006,-0.1411,-0.00012217304763960032,-0.02450442269800038,0.005711589977151377,0.0486824688258789,-0.022706733568446213,0.18703820928997217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,-0.1,-0.1,0.1,0.1,-0.1,0.0,0.0
1775543806.2540734,9,0.09474877300000001,0.0,0.0,0.0,0.0,0.0,0.0,-0.9897,0.0171,0.0006,-0.1424,-0.00012217304763960032,-0.02450442269800038,0.005711589977151377,0.0486824688258789,-0.022706733568446213,0.18703820928997217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,-0.1,-0.1,0.1,0.1,-0.1,0.0,0.0
1775543806.2640495,10,0.10467024400000001,0.0,0.0,0.0,0.0,0.0,0.0,-0.9894,0.0171,0.0007,-0.1442,-0.00012217304763960032,-0.02450442269800038,0.005711589977151377,0.0486824688258789,-0.022706733568446213,0.18703820928997217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,-0.1,-0.1,0.1,0.1,-0.1,0.0,0.0
