time_sec,time_nanosec,pos_0,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,motor_speed_dps_0,motor_speed_dps_1,motor_speed_dps_2,motor_speed_dps_3,motor_speed_dps_4,motor_speed_dps_5,motor_speed_dps_6,motor_speed_dps_7,eff_0,eff_1,eff_2,eff_3,eff_4,eff_5,eff_6,eff_7,target_value_0,target_value_1,target_value_2,target_value_3,target_value_4,target_value_5,target_value_6,target_value_7,torque_command_0,torque_command_1,torque_command_2,torque_command_3,torque_command_4,torque_command_5,torque_command_6,torque_command_7
1765455460,851082281,0.0666366708411435,0.0009424777960769379,0.03834488366631542,-0.051731559029111925,-0.022375121010567305,-0.07819075048934597,1.1240094915768681,-1.8050893255826155,nan,nan,nan,nan,nan,nan,nan,nan,0.0,-0.04833984375,0.0,0.0,0.01611328125,0.01611328125,0.0322265625,-0.08056640625,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1765455460,877947759,0.0666366708411435,0.0009424777960769379,0.03834488366631542,-0.051731559029111925,-0.022375121010567305,-0.07819075048934597,1.1240094915768681,-1.8050893255826155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0322265625,0.01611328125,0.0,0.01611328125,0.01611328125,0.01611328125,-0.08056640625,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1765455460,916618834,0.0666366708411435,0.0009424777960769379,0.03834488366631542,-0.051731559029111925,-0.022375121010567305,-0.07819075048934597,1.1240094915768681,-1.8050893255826155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0322265625,0.01611328125,0.01611328125,-0.01611328125,0.01611328125,0.01611328125,-0.12890625,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1765455460,954053444,0.0666366708411435,0.0009424777960769379,0.03834488366631542,-0.051731559029111925,-0.022375121010567305,-0.07819075048934597,1.1240094915768681,-1.8050893255826155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04833984375,0.0,0.0,0.01611328125,0.01611328125,0.0322265625,-0.1611328125,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1765455460,976946325,0.0666366708411435,0.0009424777960769379,0.03834488366631542,-0.051731559029111925,-0.022375121010567305,-0.07819075048934597,1.1240094915768681,-1.8050893255826155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04833984375,-0.0322265625,0.0,0.01611328125,0.01611328125,0.0322265625,-0.0966796875,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1765455461,1647454,0.0666366708411435,0.0009424777960769379,0.03834488366631542,-0.051731559029111925,-0.022375121010567305,-0.07819075048934597,1.1240094915768681,-1.8050893255826155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01611328125,0.01611328125,0.0322265625,-0.1611328125,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1765455461,31581676,0.0666366708411435,0.0009424777960769379,0.03834488366631542,-0.051731559029111925,-0.022375121010567305,-0.07819075048934597,1.1240094915768681,-1.8050893255826155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01611328125,-0.0322265625,0.0,0.0,0.01611328125,0.01611328125,0.04833984375,-0.0966796875,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1765455461,81626598,0.0666366708411435,0.0009424777960769379,0.03834488366631542,-0.051731559029111925,-0.022375121010567305,-0.07819075048934597,1.1240094915768681,-1.8050893255826155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01611328125,-0.04833984375,-0.0322265625,0.01611328125,0.0,0.0,0.01611328125,-0.14501953125,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1765455461,119611072,0.0666366708411435,0.0009424777960769379,0.03834488366631542,-0.051731559029111925,-0.022375121010567305,-0.07819075048934597,1.1240094915768681,-1.8050893255826155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0322265625,0.0322265625,0.0,0.0,0.01611328125,0.01611328125,-0.12890625,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1765455461,155766401,0.0666366708411435,0.0009424777960769379,0.03834488366631542,-0.051731559029111925,-0.022375121010567305,-0.07819075048934597,1.1240094915768681,-1.8050893255826155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01611328125,-0.0322265625,0.0,0.01611328125,-0.01611328125,0.01611328125,0.01611328125,-0.04833984375,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1765455461,204413289,0.0666366708411435,0.0009424777960769379,0.03834488366631542,-0.051731559029111925,-0.022375121010567305,-0.07819075048934597,1.1240094915768681,-1.8050893255826155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0322265625,-0.0322265625,0.01611328125,0.01611328125,0.01611328125,0.0322265625,-0.0966796875,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1765455461,230398595,0.0666366708411435,0.0009424777960769379,0.03834488366631542,-0.051731559029111925,-0.022375121010567305,-0.07819075048934597,1.1240094915768681,-1.8050893255826155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0322265625,0.0966796875,0.0,0.01611328125,0.01611328125,0.0322265625,-0.12890625,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1765455461,261972743,0.0666366708411435,0.0009424777960769379,0.03834488366631542,-0.051731559029111925,-0.022375121010567305,-0.07819075048934597,1.1240094915768681,-1.8050893255826155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04833984375,-0.04833984375,0.0,0.01611328125,0.01611328125,0.04833984375,-0.12890625,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1765455461,288599561,0.0666366708411435,0.0009424777960769379,0.03834488366631542,-0.051731559029111925,-0.022375121010567305,-0.07819075048934597,1.1240094915768681,-1.8050893255826155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01611328125,-0.0322265625,-0.04833984375,0.01611328125,-0.01611328125,0.0,0.01611328125,-0.12890625,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1765455461,309027833,0.0666366708411435,0.0009424777960769379,0.03834488366631542,-0.051731559029111925,-0.022375121010567305,-0.07819075048934597,1.1240094915768681,-1.8050893255826155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0322265625,-0.04833984375,0.01611328125,0.01611328125,-0.04833984375,0.0322265625,-0.0966796875,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1765455461,331595814,0.0666366708411435,0.0009424777960769379,0.03834488366631542,-0.051731559029111925,-0.022375121010567305,-0.07819075048934597,1.1240094915768681,-1.8050893255826155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0322265625,0.0,0.01611328125,-0.01611328125,0.0322265625,0.04833984375,-0.12890625,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1765455461,359335511,0.0666366708411435,0.0009424777960769379,0.03834488366631542,-0.051731559029111925,-0.022375121010567305,-0.07819075048934597,1.1240094915768681,-1.8050893255826155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01611328125,0.01611328125,0.01611328125,0.01611328125,-0.11279296875,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1765455461,386881573,0.0666366708411435,0.0009424777960769379,0.03834488366631542,-0.051731559029111925,-0.022375121010567305,-0.07819075048934597,1.1240094915768681,-1.8050893255826155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01611328125,-0.0322265625,0.04833984375,0.0,-0.01611328125,0.0,0.0322265625,-0.0966796875,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1765455461,411656335,0.0666366708411435,0.0009424777960769379,0.03834488366631542,-0.051731559029111925,-0.022375121010567305,-0.07819075048934597,1.1240094915768681,-1.8050893255826155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01611328125,-0.0322265625,0.0,0.0,0.0,0.0322265625,0.0322265625,-0.0966796875,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1765455461,436231478,0.0666366708411435,0.0009424777960769379,0.03834488366631542,-0.051731559029111925,-0.022375121010567305,-0.07819075048934597,1.1240094915768681,-1.8050893255826155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01611328125,0.0,0.0,0.01611328125,0.01611328125,0.01611328125,0.01611328125,-0.11279296875,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1765455461,459136199,0.0666366708411435,0.0009424777960769379,0.03834488366631542,-0.051731559029111925,-0.022375121010567305,-0.07819075048934597,1.1240094915768681,-1.8050893255826155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01611328125,0.0,0.0,0.0,0.01611328125,0.01611328125,0.04833984375,-0.12890625,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1765455461,491932636,0.0666366708411435,0.0009424777960769379,0.03834488366631542,-0.051731559029111925,-0.022375121010567305,-0.07819075048934597,1.1240094915768681,-1.8050893255826155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0322265625,0.01611328125,0.01611328125,0.01611328125,0.01611328125,-0.11279296875,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1765455461,522853751,0.0666366708411435,0.0009424777960769379,0.03834488366631542,-0.051731559029111925,-0.022375121010567305,-0.07819075048934597,1.1240094915768681,-1.8050893255826155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0322265625,0.0322265625,0.0,-0.01611328125,0.01611328125,0.04833984375,-0.0966796875,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
