time_sec,time_nanosec,pos_0,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,vel_0,vel_1,vel_2,vel_3,vel_4,vel_5,vel_6,vel_7,eff_0,eff_1,eff_2,eff_3,eff_4,eff_5,eff_6,eff_7
1765449303,369171658,0.0673173492494213,0.01699950691442477,0.1251226540754735,-0.09370672753957555,0.12070697106792784,-0.15397294661093977,55.473579851972815,-1.4788174752147953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01611328125,-0.0322265625,0.0,-0.064453125,-0.01611328125,0.01611328125,0.04833984375
1765449303,484335282,0.0673173492494213,0.01699950691442477,0.1251226540754735,-0.09370672753957555,0.12070697106792784,-0.15397294661093977,55.473579851972815,-1.4788174752147953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01611328125,0.0,0.01611328125,0.01611328125,-0.01611328125,0.0322265625,0.0
1765449303,503730302,0.0673173492494213,0.01699950691442477,0.1251226540754735,-0.09370672753957555,0.12070697106792784,-0.15397294661093977,55.473579851972815,-1.4788174752147953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0322265625,-0.04833984375,0.01611328125,0.0322265625,-0.01611328125,0.0322265625,0.0322265625
1765449303,525159335,0.0673173492494213,0.01699950691442477,0.1251226540754735,-0.09370672753957555,0.12070697106792784,-0.15397294661093977,55.473579851972815,-1.4788174752147953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01611328125,0.0,0.01611328125,0.0,-0.01611328125,0.01611328125,0.04833984375
1765449303,545071154,0.0673173492494213,0.01699950691442477,0.1251226540754735,-0.09370672753957555,0.12070697106792784,-0.15397294661093977,55.473579851972815,-1.4788174752147953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01611328125,0.0,0.0322265625,0.01611328125,-0.01611328125,0.0322265625,0.01611328125
1765449303,568315450,0.0673173492494213,0.01699950691442477,0.1251226540754735,-0.09370672753957555,0.12067206448288793,-0.15397294661093977,55.473579851972815,-1.4788174752147953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01611328125,0.0,-0.0322265625,0.0322265625,0.0322265625,-0.04833984375,0.0322265625,0.04833984375
1765449303,590420899,0.0673173492494213,0.01699950691442477,0.1251226540754735,-0.09370672753957555,0.12067206448288793,-0.15397294661093977,55.473579851972815,-1.4788174752147953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01611328125,0.01611328125,0.0,0.0322265625,0.064453125
1765449303,613933930,0.0673173492494213,0.01699950691442477,0.1251226540754735,-0.09370672753957555,0.12067206448288793,-0.15397294661093977,55.473579851972815,-1.4788174752147953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01611328125,-0.04833984375,0.04833984375,0.04833984375,-0.01611328125,0.01611328125,0.0
1765449303,651815299,0.0673173492494213,0.01699950691442477,0.1251226540754735,-0.09370672753957555,0.12067206448288793,-0.15397294661093977,55.473579851972815,-1.4788174752147953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01611328125,0.0322265625,0.0,0.0322265625,0.01611328125,-0.0322265625,-0.064453125,0.064453125
1765449303,677106088,0.0673173492494213,0.01699950691442477,0.1251226540754735,-0.09370672753957555,0.12067206448288793,-0.15397294661093977,55.473579851972815,-1.4788174752147953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0322265625,0.0322265625,0.0,0.01611328125,-0.01611328125,-0.0322265625,0.01611328125,0.04833984375
