time_sec,time_nanosec,pos_0,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,vel_0,vel_1,vel_2,vel_3,vel_4,vel_5,vel_6,vel_7,eff_0,eff_1,eff_2,eff_3,eff_4,eff_5,eff_6,eff_7,target_val_0,target_val_1,target_val_2,target_val_3,target_val_4,target_val_5,target_val_6,target_val_7
1765452389,95947511,0.07005751617505239,0.01864011641129944,0.022357667718047362,-0.0197920337176157,-0.01731366617978375,-0.043319072034499265,0.9155299124261455,-1.6105200205702874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0966796875,0.0,-0.01611328125,0.01611328125,0.08056640625,0.01611328125,0.08056640625,nan,nan,nan,nan,nan,nan,nan,nan
1765452389,115624457,0.07005751617505239,0.01864011641129944,0.022357667718047362,-0.0197920337176157,-0.01731366617978375,-0.043319072034499265,0.9155299124261455,-1.6105200205702874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01611328125,0.01611328125,0.01611328125,-0.0322265625,-0.0322265625,-0.04833984375,0.01611328125,0.11279296875,nan,nan,nan,nan,nan,nan,nan,nan
1765452389,134571132,0.07005751617505239,0.01864011641129944,0.022357667718047362,-0.0197920337176157,-0.01731366617978375,-0.043319072034499265,0.9155299124261455,-1.6105200205702874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0322265625,0.0322265625,0.0,-0.04833984375,0.0,-0.08056640625,0.0,0.064453125,nan,nan,nan,nan,nan,nan,nan,nan
1765452389,160016449,0.07005751617505239,0.01864011641129944,0.022357667718047362,-0.0197920337176157,-0.01731366617978375,-0.043319072034499265,0.9155299124261455,-1.6105200205702874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01611328125,0.0322265625,0.01611328125,-0.0322265625,-0.01611328125,0.01611328125,0.01611328125,0.11279296875,nan,nan,nan,nan,nan,nan,nan,nan
1765452389,180606385,0.07005751617505239,0.01864011641129944,0.022357667718047362,-0.0197920337176157,-0.01731366617978375,-0.043319072034499265,0.9155299124261455,-1.6105200205702874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0322265625,0.0322265625,0.01611328125,-0.04833984375,-0.01611328125,0.0,0.01611328125,0.08056640625,nan,nan,nan,nan,nan,nan,nan,nan
1765452389,203203164,0.07005751617505239,0.01864011641129944,0.022357667718047362,-0.0197920337176157,-0.01731366617978375,-0.043319072034499265,0.9155299124261455,-1.6105200205702874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01611328125,0.01611328125,0.0,-0.01611328125,0.01611328125,-0.0322265625,-0.0322265625,-0.01611328125,nan,nan,nan,nan,nan,nan,nan,nan
1765452389,223758092,0.07005751617505239,0.01864011641129944,0.022357667718047362,-0.0197920337176157,-0.01731366617978375,-0.043319072034499265,0.9155299124261455,-1.6105200205702874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0322265625,0.0322265625,0.01611328125,-0.04833984375,0.01611328125,-0.0322265625,0.01611328125,0.04833984375,nan,nan,nan,nan,nan,nan,nan,nan
1765452389,245668697,0.06916739825653528,0.01864011641129944,0.022287854547967587,-0.0197920337176157,-0.01731366617978375,-0.043319072034499265,0.9155299124261455,-1.6105200205702874,-1.2566370614359172,0.0,-0.22689280275926285,0.0,0.0,0.0,0.0,0.0,-0.515625,0.01611328125,0.01611328125,-0.0322265625,0.01611328125,0.064453125,-0.01611328125,-0.0322265625,nan,nan,nan,nan,nan,nan,nan,nan
1765452389,268470628,0.06689847022894266,0.018500490071139894,0.02246238747316702,-0.01975712713257581,-0.01731366617978375,-0.04310963252425994,0.9155473657186655,-1.6105200205702874,0.08726646259971647,-0.05235987755982988,0.0,0.0,0.0,0.15707963267948966,0.03490658503988659,0.0,-0.6767578125,0.01611328125,-0.01611328125,-0.0322265625,0.0322265625,0.08056640625,0.01611328125,0.0966796875,nan,nan,nan,nan,nan,nan,nan,nan
1765452389,291058319,0.0661479786505851,0.01853539665617978,0.022287854547967587,-0.01975712713257581,-0.01731366617978375,-0.04297000618410039,0.9155299124261455,-1.6105200205702874,-0.7853981633974483,0.17453292519943295,0.0,0.05235987755982988,0.0,0.0,0.15707963267948966,0.0,-0.6767578125,0.01611328125,-0.01611328125,0.0,0.0322265625,0.04833984375,0.01611328125,0.0966796875,nan,nan,nan,nan,nan,nan,nan,nan
1765452389,312536829,0.06454227573875031,0.01857030324121967,0.02234021442552742,-0.01975712713257581,-0.01731366617978375,-0.04297000618410039,0.9155124591336256,-1.6105200205702874,-1.3439035240356338,0.17453292519943295,0.0,0.0,0.0,0.0,0.0,0.0,-0.6767578125,0.01611328125,-0.01611328125,-0.04833984375,0.04833984375,0.08056640625,0.01611328125,0.08056640625,nan,nan,nan,nan,nan,nan,nan,nan
1765452389,334139499,0.06270968002415625,0.018622663118779494,0.022322761133007477,-0.019774580425095754,-0.01731366617978375,-0.04293509959906051,0.9155299124261455,-1.6105200205702874,-1.0122909661567112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.66064453125,0.01611328125,0.01611328125,-0.04833984375,0.0322265625,0.064453125,0.01611328125,0.04833984375,nan,nan,nan,nan,nan,nan,nan,nan
1765452389,354326812,0.05876523591464907,0.01858775653373961,0.022322761133007477,-0.019774580425095754,-0.01731366617978375,-0.04293509959906051,0.9155299124261455,-1.6105200205702874,-1.9722220547535922,-0.05235987755982988,0.0,0.0,0.0,0.0,0.0,0.0,-0.78955078125,0.01611328125,0.01611328125,-0.01611328125,0.04833984375,0.11279296875,0.01611328125,0.08056640625,nan,nan,nan,nan,nan,nan,nan,nan
1765452389,377347846,0.055780722893738775,0.01853539665617978,0.022270401255447644,-0.0197920337176157,-0.01731366617978375,-0.04293509959906051,0.9155299124261455,-1.6105200205702874,-2.076941809873252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.64453125,0.0,-0.01611328125,-0.01611328125,0.01611328125,0.064453125,0.01611328125,0.064453125,nan,nan,nan,nan,nan,nan,nan,nan
1765452389,399642258,0.051417399763752945,0.01853539665617978,0.022322761133007477,-0.019739673840055868,-0.01731366617978375,-0.04293509959906051,0.9155299124261455,-1.6105200205702874,-1.9722220547535922,0.0,0.05235987755982988,0.0,0.0,0.0,0.0,0.0,-0.6767578125,0.01611328125,-0.01611328125,-0.01611328125,0.04833984375,0.08056640625,0.01611328125,-0.0322265625,nan,nan,nan,nan,nan,nan,nan,nan
1765452389,420881441,0.04701917004872724,0.01855284994869972,0.022235494670407755,-0.01975712713257581,-0.01731366617978375,-0.04293509959906051,0.9155124591336256,-1.6105200205702874,-1.3264502315156903,0.08726646259971647,0.0,0.0,0.0,0.0,0.0,0.0,-0.66064453125,0.01611328125,-0.01611328125,-0.0322265625,0.0322265625,0.08056640625,0.01611328125,0.0322265625,nan,nan,nan,nan,nan,nan,nan,nan
1765452389,444149322,0.042010075095503516,0.01855284994869972,0.022287854547967587,-0.01975712713257581,-0.01731366617978375,-0.04293509959906051,0.9155124591336256,-1.6105200205702874,-2.8099800957108703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6767578125,0.0,-0.0322265625,-0.064453125,0.01611328125,0.14501953125,0.01611328125,0.08056640625,nan,nan,nan,nan,nan,nan,nan,nan
1765452389,466484470,0.0368439005096003,0.01855284994869972,0.022270401255447644,-0.019774580425095754,-0.01731366617978375,-0.04293509959906051,0.9155124591336256,-1.6105200205702874,-2.129301687433082,0.0,-0.05235987755982988,0.0,0.0,0.0,0.0,0.0,-0.69287109375,0.0,0.0,-0.01611328125,0.04833984375,0.11279296875,0.01611328125,0.08056640625,nan,nan,nan,nan,nan,nan,nan,nan
