t_sec,q_ref_0_rad,q_meas_0_rad,dq_meas_0_rad_s,tau_cmd_0_nm,q_ref_1_rad,q_meas_1_rad,dq_meas_1_rad_s,tau_cmd_1_nm,q_ref_2_rad,q_meas_2_rad,dq_meas_2_rad_s,tau_cmd_2_nm,q_ref_3_rad,q_meas_3_rad,dq_meas_3_rad_s,tau_cmd_3_nm,q_ref_4_rad,q_meas_4_rad,dq_meas_4_rad_s,tau_cmd_4_nm,q_ref_5_rad,q_meas_5_rad,dq_meas_5_rad_s,tau_cmd_5_nm,q_ref_6_rad,q_meas_6_rad,dq_meas_6_rad_s,tau_cmd_6_nm,q_ref_7_rad,q_meas_7_rad,dq_meas_7_rad_s,tau_cmd_7_nm
0.504444464,1.4020265111111794,0.08428194957880616,0.06370451769779302,0.39434635639190674,0.15273376284202375,0.17444565873683324,0.0,-0.0010000000474974513,-0.035709436495803985,-0.03544763710800483,0.0,-7.079701754264534e-05,-0.014800392056911913,-0.011641346110802179,-0.0017453292519943296,-0.0008354840683750808,0.15734143206728882,0.15734143206728882,0.0,1.2195241483325958e-09,-0.060946897479641986,-0.060929444187122046,0.0,-6.108369689172832e-06,1.0737091025343914,1.0737091025343914,0.0,0.0010000000474974513,0.580164896655435,0.5796587511723568,0.0,0.0010000000474974513
0.509453045,1.4015469435544865,0.08428194957880616,0.06370451769779302,0.39440494775772095,0.15273376284202375,0.17444565873683324,0.0,-0.0010000000474974513,-0.035709436495803985,-0.03544763710800483,0.0,-7.069140701787546e-05,-0.014800392056911913,-0.011641346110802179,-0.0017453292519943296,-0.0008354888996109366,0.15734143206728882,0.15734143206728882,0.0,1.2195241483325958e-09,-0.060946897479641986,-0.060929444187122046,0.0,-6.108369689172832e-06,1.0737091025343914,1.0737091025343914,0.0,0.0010000000474974513,0.580164896655435,0.5796587511723568,0.0,0.0010000000474974513
0.514442873,1.4007255714173081,0.08428194957880616,0.06370451769779302,0.39436963200569153,0.15273376284202375,0.17444565873683324,0.0,-0.0010000000474974513,-0.035709436495803985,-0.03544763710800483,0.0,-7.068623381201178e-05,-0.014800392056911913,-0.011641346110802179,-0.0017453292519943296,-0.0008354891324415803,0.15734143206728882,0.15734143206728882,0.0,1.2195241483325958e-09,-0.060946897479641986,-0.060929444187122046,0.0,-6.108369689172832e-06,1.0737091025343914,1.0737091025343914,0.0,0.0010000000474974513,0.580164896655435,0.5796587511723568,0.0,0.0010000000474974513
0.519337275,1.399586921560548,0.08428194957880616,0.06370451769779302,0.39423108100891113,0.15273376284202375,0.17444565873683324,0.0,-0.0010000000474974513,-0.035709436495803985,-0.03544763710800483,0.0,-7.068597915349528e-05,-0.014800392056911913,-0.011641346110802179,-0.0017453292519943296,-0.0008354891324415803,0.15734143206728882,0.15734143206728882,0.0,1.2195241483325958e-09,-0.060946897479641986,-0.060929444187122046,0.0,-6.108369689172832e-06,1.0737091025343914,1.0737091025343914,0.0,0.0010000000474974513,0.580164896655435,0.5796587511723568,0.0,0.0010000000474974513
0.5243445760000001,1.3980810202059561,0.10081021759519247,0.04380776422505767,0.3939899504184723,0.15273376284202375,0.17451547190691302,0.0005235987755982988,-0.0010000000474974513,-0.035709436495803985,-0.03576179637336381,0.0,-7.068596460158005e-05,-0.014800392056911913,-0.011641346110802179,0.0,-0.0008354891324415803,0.15734143206728882,0.15734143206728882,0.0,1.2195241483325958e-09,-0.060946897479641986,-0.060929444187122046,0.0,-6.108369689172832e-06,1.0737091025343914,1.0736741959493517,0.0,0.0010000000474974513,0.580164896655435,0.5796587511723568,0.0,0.0010000000474974513
0.529476296,1.396180254350696,0.10081021759519247,0.04380776422505767,0.38922157883644104,0.15273376284202375,0.17451547190691302,0.0005235987755982988,-0.0010000000474974513,-0.035709436495803985,-0.03576179637336381,0.0,9.980708455259446e-06,-0.014800392056911913,-0.011641346110802179,0.0,-0.0008520872215740383,0.15734143206728882,0.15734143206728882,0.0,1.2195241483325958e-09,-0.060946897479641986,-0.060929444187122046,0.0,-6.108369689172832e-06,1.0737091025343914,1.0736741959493517,0.0,0.0010000000474974513,0.580164896655435,0.5796587511723568,0.0,0.0010000000474974513
0.534345194,1.3940427707750096,0.10081021759519247,0.04380776422505767,0.3885582983493805,0.15273376284202375,0.17451547190691302,0.0005235987755982988,-0.0010000000474974513,-0.035709436495803985,-0.03576179637336381,0.0,1.3933375157648697e-05,-0.014800392056911913,-0.011641346110802179,0.0,-0.0008529004990123212,0.15734143206728882,0.15734143206728882,0.0,1.2195241483325958e-09,-0.060946897479641986,-0.060929444187122046,0.0,-6.108369689172832e-06,1.0737091025343914,1.0736741959493517,0.0,0.0010000000474974513,0.580164896655435,0.5796587511723568,0.0,0.0010000000474974513
0.5392871810000001,1.391541075452333,0.10081021759519247,0.04380776422505767,0.3879835307598114,0.15273376284202375,0.17451547190691302,0.0005235987755982988,-0.0010000000474974513,-0.035709436495803985,-0.03576179637336381,0.0,1.412705569237005e-05,-0.014800392056911913,-0.011641346110802179,0.0,-0.000852940371260047,0.15734143206728882,0.15734143206728882,0.0,1.2195241483325958e-09,-0.060946897479641986,-0.060929444187122046,0.0,-6.108369689172832e-06,1.0737091025343914,1.0736741959493517,0.0,0.0010000000474974513,0.580164896655435,0.5796587511723568,0.0,0.0010000000474974513
0.5445733690000001,1.388495455553461,0.10081021759519247,0.04380776422505767,0.3873455226421356,0.15273376284202375,0.17451547190691302,0.0005235987755982988,-0.0010000000474974513,-0.035709436495803985,-0.03576179637336381,0.0,1.413654626958305e-05,-0.014800392056911913,-0.011641346110802179,0.0,-0.0008529422921128571,0.15734143206728882,0.15734143206728882,0.0,1.2195241483325958e-09,-0.060946897479641986,-0.060929444187122046,0.0,-6.108369689172832e-06,1.0737091025343914,1.0736741959493517,0.0,0.0010000000474974513,0.580164896655435,0.5796587511723568,0.0,0.0010000000474974513
0.549346872,1.385417567024812,0.11164871225007728,0.0439822971502571,0.3866005539894104,0.15273376284202375,0.17432348568919362,-0.0017453292519943296,-0.0010000000474974513,-0.035709436495803985,-0.03560471674068432,0.0,1.4137011021375656e-05,-0.014800392056911913,-0.011693705988362009,0.0017453292519943296,-0.0008529424085281789,0.15734143206728882,0.15734143206728882,0.0,1.2195241483325958e-09,-0.060946897479641986,-0.060929444187122046,0.0,-6.108369689172832e-06,1.0737091025343914,1.0736741959493517,0.0,0.0010000000474974513,0.580164896655435,0.5796587511723568,0.0,0.0010000000474974513
