t_sec,q_ref_rad,q_meas_rad,dq_meas_rad_s,tau_cmd_nm
1.0006097200000001,0.4978642814255371,0.5216265535435453,0.030368728984701335,-0.006859111599624157
1.0200324170000001,0.4915874107710703,0.5246721530882754,0.0,-0.009382684715092182
1.040245059,0.48435592625998325,0.5246197932107156,-0.0005235987755982988,-0.011551966890692711
1.0602221090000001,0.4765180335411599,0.5241660076051969,-0.003316125578789226,-0.01388406939804554
1.0804854400000001,0.4678777942635239,0.5241660076051969,-0.003316125578789226,-0.01661708392202854
1.099935818,0.4589421579102895,0.5237296752921984,0.0,-0.019548136740922928
1.120805376,0.44866901507266754,0.5237296752921984,0.0,-0.022675616666674614
1.139986978,0.43861421834833586,0.5237209486459384,0.0,-0.026270806789398193
1.160657745,0.42713750165775255,0.5237209486459384,0.0,-0.0297873355448246
1.180271488,0.415647992299794,0.5237209486459384,0.0,-0.033804185688495636
1.200582917,0.4031513666210171,0.5237209486459384,0.0,-0.03782551363110542
1.220162739,0.3905454190560013,0.5236598621221186,-0.0002617993877991494,-0.04217323660850525
1.239955112,0.3772621926505662,0.523572595659519,0.0,-0.04655948653817177
1.2602768770000001,0.3630776755436639,0.523546415720739,0.0,-0.05119946971535683
1.280842489,0.3481808461398452,0.5234329693193593,-0.0005235987755982988,-0.056164033710956573
1.3001976640000001,0.33368262045397823,0.5234329693193593,-0.0005235987755982988,-0.06132878363132477
1.320477219,0.31801600408575137,0.5233544295030197,-0.0006981317007977319,-0.06637253612279892
1.339845003,0.30261976747606956,0.52324098310164,-0.0004363323129985824,-0.07182257622480392
1.360524635,0.28573614395333985,0.52324098310164,-0.0004363323129985824,-0.07720954716205597
1.380099817,0.2693539654489503,0.5229617304213209,-0.0014835298641951804,-0.0830022320151329
1.4020547190000001,0.25054520082648096,0.5227871974961216,-0.0007853981633974483,-0.08868984133005142
1.420973945,0.23399184684689694,0.5224992181695425,-0.002007128639793479,-0.09526978433132172
1.4415037480000001,0.21569349239340452,0.5224992181695425,-0.002007128639793479,-0.10094141960144043
1.460199448,0.19874829624354945,0.5211116814142069,-0.009773843811168246,-0.10672047734260559
1.480299958,0.18025521453789323,0.5166523651753614,-0.017016960206944712,-0.11104229092597961
1.500207662,0.16168452431211572,0.5166523651753614,-0.017016960206944712,-0.11743193119764328
1.5202991160000001,0.14271181071616354,0.5132489731339724,-0.004363323129985824,-0.12296898663043976
1.540093409,0.12381954748001023,0.5106658858410209,-0.016406094968746697,-0.1284887194633484
1.5604653830000002,0.10419633917057929,0.5060494899694958,-0.02076941809873252,-0.13348960876464844
1.579939666,0.08529391428383519,0.4995394118595571,-0.02722713633111154,-0.14025846123695374
1.6002684070000002,0.06544004084533835,0.4995394118595571,-0.02722713633111154,-0.14449533820152283
1.6203845330000002,0.04569925522428125,0.49169415687184254,-0.032026791774095946,-0.1486184448003769
1.6404799550000002,0.02591329429579014,0.48301114384317073,-0.036739180754480634,-0.15240532159805298
1.659997984,0.006660092468482915,0.4705843995689711,-0.057508598853213154,-0.159322127699852
1.6800720610000002,-0.013150646162244749,0.4705843995689711,-0.057508598853213154,-0.16133834421634674
1.700268606,-0.03306307547785162,0.45498988270240176,-0.061871921983198984,-0.16273610293865204
1.72064842,-0.05310742550380115,0.4364981192775218,-0.07094763409356951,-0.16308525204658508
1.740222514,-0.07228579904810761,0.4115835442053028,-0.09241518389309976,-0.17008405923843384
1.760000999,-0.09156429031874391,0.4115835442053028,-0.09241518389309976,-0.16769081354141235
1.780130406,-0.11105389984627054,0.38340520343185436,-0.11231193736583511,-0.16424144804477692
1.800073695,-0.13020562832601298,0.34894367735122633,-0.12959069696057895,-0.1592719703912735
1.819990487,-0.14914819749325353,0.34894367735122633,-0.12959069696057895,-0.16536958515644073
1.840121302,-0.16808052379090097,0.30834731894983824,-0.1540253064884996,-0.15735265612602234
1.860579455,-0.1870725140021808,0.26271568565644643,-0.1778490507782222,-0.14761672914028168
