t_sec,wheel_index,omega_ref_rad_s,omega_meas_rad_s,tau_cmd_nm
5.0000764,6.0,0.3490658503988659,0.32358404331974866,0.034707363694906235
5.0051250000000005,6.0,0.3490658503988659,0.32358404331974866,0.0347268283367157
5.01015136,6.0,0.3490658503988659,0.32358404331974866,0.03476506099104881
5.015185176,6.0,0.3490658503988659,0.3216641811425549,0.0350959412753582
5.020111244000001,6.0,0.3490658503988659,0.3216641811425549,0.03513164445757866
5.02522023,6.0,0.3490658503988659,0.3216641811425549,0.03513164445757866
5.0300454960000005,6.0,0.3490658503988659,0.3216641811425549,0.03515424206852913
5.035388249,6.0,0.3490658503988659,0.3216641811425549,0.035194139927625656
5.040490387,6.0,0.3490658503988659,0.3216641811425549,0.035214632749557495
5.04502886,6.0,0.3490658503988659,0.32829643230013333,0.035214632749557495
5.050181719,6.0,0.3490658503988659,0.32829643230013333,0.034121323376894
5.055414837000001,6.0,0.3490658503988659,0.32829643230013333,0.034121323376894
5.060117379,6.0,0.3490658503988659,0.32829643230013333,0.03413519263267517
5.065109241,6.0,0.3490658503988659,0.32829643230013333,0.034149929881095886
5.070429914,6.0,0.3490658503988659,0.3298672286269283,0.034165434539318085
5.075223594000001,6.0,0.3490658503988659,0.3298672286269283,0.033926915377378464
5.080431239,6.0,0.3490658503988659,0.3298672286269283,0.033927999436855316
5.08576996,6.0,0.3490658503988659,0.3298672286269283,0.033956050872802734
5.090655548,6.0,0.3490658503988659,0.3298672286269283,0.03397035598754883
5.095014911000001,6.0,0.3490658503988659,0.3298672286269283,0.03397035598754883
5.100497669,6.0,0.3490658503988659,0.32882003107573166,0.033984847366809845
5.10517541,6.0,0.3490658503988659,0.32882003107573166,0.034170426428318024
5.110601045,6.0,0.3490658503988659,0.32882003107573166,0.03420829027891159
5.115834195000001,6.0,0.3490658503988659,0.32882003107573166,0.03422355279326439
5.120718278,6.0,0.3490658503988659,0.32882003107573166,0.03423870727419853
5.127080038,6.0,0.3490658503988659,0.3300417615521277,0.03405549004673958
5.130701587,6.0,0.3490658503988659,0.3300417615521277,0.03406009450554848
5.135871983,6.0,0.3490658503988659,0.3300417615521277,0.034073930233716965
5.140208370000001,6.0,0.3490658503988659,0.3300417615521277,0.034073930233716965
5.145161992,6.0,0.3490658503988659,0.3300417615521277,0.03408817574381828
5.150397894,6.0,0.3490658503988659,0.3368485456349056,0.033011339604854584
5.155457214,6.0,0.3490658503988659,0.3368485456349056,0.03296656906604767
5.160496278,6.0,0.3490658503988659,0.3368485456349056,0.03297313675284386
5.165188132,6.0,0.3490658503988659,0.3368485456349056,0.03297313675284386
5.170615239,6.0,0.3490658503988659,0.3368485456349056,0.032991375774145126
5.175220338,6.0,0.3490658503988659,0.3368485456349056,0.032991375774145126
