time_sec,source_time_sec,hip_L_Joint_pos_rad,hip_R_Joint_pos_rad,thigh_L_Joint_pos_rad,thigh_R_Joint_pos_rad,knee_L_Joint_pos_rad,knee_R_Joint_pos_rad,wheel_L_Joint_pos_rad,wheel_R_Joint_pos_rad,hip_L_Joint_vel_rad/s,hip_R_Joint_vel_rad/s,thigh_L_Joint_vel_rad/s,thigh_R_Joint_vel_rad/s,knee_L_Joint_vel_rad/s,knee_R_Joint_vel_rad/s,wheel_L_Joint_vel_rad/s,wheel_R_Joint_vel_rad/s,hip_L_Joint_torque,hip_R_Joint_torque,thigh_L_Joint_torque,thigh_R_Joint_torque,knee_L_Joint_torque,knee_R_Joint_torque,wheel_L_Joint_torque,wheel_R_Joint_torque,hip_L_Joint_actual_torque,hip_R_Joint_actual_torque,thigh_L_Joint_actual_torque,thigh_R_Joint_actual_torque,knee_L_Joint_actual_torque,knee_R_Joint_actual_torque,wheel_L_Joint_actual_torque,wheel_R_Joint_actual_torque,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31
0.0,0.0,-0.0056016342342744,0.0010367255756866811,0.8384840979261075,-0.8744544611450831,1.924781824022823,-2.0304026053688236,21.34715175173993,-13.069885013590149,0.0,0.0,0.0,0.0,0.0,-0.012217304763960306,0.0,0.0,0.0168049027028232,-0.0031101767270600433,0.4110335469563182,-0.30343661656475085,0.5088545279315306,-0.1913202321315119,0.0,0.0005235987755982989,0.004218779296875,0.029531455078125,0.417659150390625,-0.291095771484375,0.51469107421875,-0.20250140625,-0.01591412109375,-0.01591412109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009810798,0.009911889,-0.0056016342342744,0.0010367255756866811,0.8384840979261075,-0.8744544611450831,1.924781824022823,-2.0304985984776835,21.34715175173993,-13.069885013590149,0.0,0.0,-0.015707963267948967,0.0,0.0,-0.008726646259971648,-0.005235987755982989,0.0,0.0168049027028232,-0.0031101767270600433,0.4113477062216777,-0.30343661656475085,0.5088545279315306,-0.19077045341713275,0.0,0.0,0.0168751171875,0.029531455078125,0.41344037109375,-0.299533330078125,0.506253515625,-0.19406384765625,-0.0119355908203125,-0.0198926513671875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.020054344,0.020066024000000002,-0.0056016342342744,0.0010367255756866811,0.8384840979261075,-0.8744544611450831,1.924781824022823,-2.0305945915865427,21.34706448527733,-13.069885013590149,0.0,0.0,-0.008726646259971648,0.0,0.0,-0.010471975511965978,-0.010471975511965978,0.0,0.0168049027028232,-0.0031101767270600433,0.4129185025484726,-0.30343661656475085,0.5088545279315306,-0.19083153994095164,0.00026179938779914946,0.0,-0.00843755859375,-0.012656337890625,0.383908916015625,-0.333283564453125,0.506253515625,-0.19406384765625,-0.0198926513671875,0.0119355908203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.030344355000000003,0.030270784000000002,-0.0056016342342744,0.0010367255756866811,0.8383968314635077,-0.8744544611450831,1.924781824022823,-2.0306905846954035,21.34695976552221,-13.069885013590149,0.0,0.0,-0.017453292519943295,0.0,0.0,-0.003490658503988659,-0.010471975511965978,0.017453292519943295,0.0168049027028232,-0.0031101767270600433,0.4122203708476749,-0.30343661656475085,0.5088545279315306,-0.1903690276891749,0.0005235987755982989,0.0,0.054844130859375,-0.021093896484375,0.426096708984375,-0.303752109375,0.506253515625,-0.19406384765625,-0.0198926513671875,0.0039785302734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.041051337,0.040620125,-0.0056016342342744,0.0010367255756866811,0.8383968314635077,-0.8744544611450831,1.924781824022823,-2.0307429445729626,21.34695976552221,-13.069885013590149,0.0,0.0,0.0,0.0,0.0,-0.004363323129985824,0.0,0.005235987755982989,0.0168049027028232,-0.0031101767270600433,0.4133548348614712,-0.30343661656475085,0.5088545279315306,-0.19077918006338998,0.0005235987755982989,-0.0008726646259971648,0.0,0.033750234375,0.426096708984375,-0.299533330078125,0.506253515625,-0.20250140625,-0.01591412109375,0.0119355908203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.050984794,0.050815285,-0.0056016342342744,0.0010367255756866811,0.8383968314635077,-0.8743671946824838,1.924781824022823,-2.0307865778042626,21.34695976552221,-13.06978029383503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012217304763960306,0.0168049027028232,-0.0031101767270600433,0.41160950560947684,-0.30343661656475085,0.5088545279315306,-0.1905348339681132,0.0,-0.00026179938779914946,0.0168751171875,0.0,0.426096708984375,-0.291095771484375,0.506253515625,-0.20250140625,-0.0198926513671875,0.01591412109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.060529888000000004,0.060344315,-0.0056016342342744,0.0010367255756866811,0.8383968314635077,-0.8743671946824838,1.924781824022823,-2.0307865778042626,21.34695976552221,-13.06978029383503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0168049027028232,-0.0031101767270600433,0.41160950560947684,-0.30369841595254865,0.5088545279315306,-0.19084026658721154,0.0,-0.0006108652381980154,0.0,-0.012656337890625,0.426096708984375,-0.2868769921875,0.506253515625,-0.20250140625,-0.0198926513671875,0.007957060546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07093980700000001,0.070608181,-0.0056016342342744,0.0010367255756866811,0.8382921117083884,-0.8743671946824838,1.924781824022823,-2.0307865778042626,21.34695976552221,-13.06978029383503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0168049027028232,-0.0031101767270600433,0.41160950560947684,-0.30369841595254865,0.5088545279315306,-0.19084026658721154,0.0,0.0,0.0168751171875,-0.012656337890625,0.417659150390625,-0.29531455078125,0.51469107421875,-0.20250140625,0.04774236328125,-0.0198926513671875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08116872800000001,0.080776077,-0.0056016342342744,0.0010367255756866811,0.8382921117083884,-0.8743671946824838,1.924781824022823,-2.0307865778042626,21.34695976552221,-13.06978029383503,0.0,0.0,-0.008726646259971648,0.0,0.0,0.0,0.0,0.0,0.0168049027028232,-0.0031101767270600433,0.411923664874835,-0.30369841595254865,0.5088545279315306,-0.19084026658721154,0.0,0.0,0.0,-0.0168751171875,0.4218779296875,-0.33750234375,0.51469107421875,-0.19406384765625,0.04774236328125,0.0039785302734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09405161000000001,0.09137387200000001,-0.0056016342342744,0.0010367255756866811,0.8382921117083884,-0.8743671946824838,1.924781824022823,-2.0307865778042626,21.34695976552221,-13.06978029383503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0168049027028232,-0.0031101767270600433,0.41279632950083217,-0.30369841595254865,0.5088545279315306,-0.19084026658721154,0.0,0.0,0.0,0.033750234375,0.426096708984375,-0.29531455078125,0.506253515625,-0.19406384765625,-0.01591412109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
