time_sec,hip_L_Joint_pos_rad,hip_R_Joint_pos_rad,thigh_L_Joint_pos_rad,thigh_R_Joint_pos_rad,knee_L_Joint_pos_rad,knee_R_Joint_pos_rad,wheel_L_Joint_pos_rad,wheel_R_Joint_pos_rad,hip_L_Joint_vel_rad/s,hip_R_Joint_vel_rad/s,thigh_L_Joint_vel_rad/s,thigh_R_Joint_vel_rad/s,knee_L_Joint_vel_rad/s,knee_R_Joint_vel_rad/s,wheel_L_Joint_vel_rad/s,wheel_R_Joint_vel_rad/s,hip_L_Joint_torque,hip_R_Joint_torque,thigh_L_Joint_torque,thigh_R_Joint_torque,knee_L_Joint_torque,knee_R_Joint_torque,wheel_L_Joint_torque,wheel_R_Joint_torque,hip_L_Joint_actual_torque,hip_R_Joint_actual_torque,thigh_L_Joint_actual_torque,thigh_R_Joint_actual_torque,knee_L_Joint_actual_torque,knee_R_Joint_actual_torque,wheel_L_Joint_actual_torque,wheel_R_Joint_actual_torque
5.1809000000000005e-05,0.015952309363227002,-0.021716259217939182,-0.03085393051675389,0.0120602251312798,-0.004389503068765732,0.0033772121026089674,0.012077678423800697,-5.235987755958238e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07674924773913894,-0.018168368051405537,-0.05831017448391229,-0.03651245347311072,-0.374111716547487,0.4229698389309732,0.0,0.0,-0.07593802734375,-0.021093896484375,-0.05906291015625,-0.04218779296875,-0.3206272265625,0.43031548828125,-0.01591412109375,0.0119355908203125
0.0096726,0.015952309363227002,-0.021716259217939182,-0.03085393051675389,0.0120602251312798,-0.004389503068765732,0.0033772121026089674,0.012077678423800697,-5.235987755958238e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07674938184958968,-0.018168233940954792,-0.05831035329784662,-0.03651258758356146,-0.3741116271405198,0.4229697942274896,0.0,0.0,-0.063281689453125,-0.0168751171875,-0.063281689453125,-0.037969013671875,-0.39656525390624997,0.4218779296875,-0.01591412109375,-0.0198926513671875
0.019722740000000002,0.015952309363227002,-0.021716259217939182,-0.03085393051675389,0.0120602251312798,-0.004389503068765732,0.0033772121026089674,0.012077678423800697,-5.235987755958238e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07674943772894416,-0.01816812218224584,-0.05831033094610483,-0.03651258758356146,-0.374111716547487,0.42296992833794034,0.0,0.0,-0.063281689453125,-0.021093896484375,-0.05906291015625,0.00843755859375,-0.3881276953125,0.43031548828125,-0.01591412109375,-0.023871181640625
0.030003729000000003,0.015952309363227002,-0.021716259217939182,-0.03085393051675389,0.0120602251312798,-0.004389503068765732,0.0033772121026089674,0.012077678423800697,-5.235987755958238e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07674950478416953,-0.01816814453398763,-0.05831035329784662,-0.03651266581465773,-0.3741114483265855,0.4229699730414239,0.0,0.0,-0.063281689453125,-0.0168751171875,-0.054844130859375,-0.046406572265625,-0.3206272265625,0.4218779296875,0.0039785302734375,0.007957060546875
0.039834923,0.015952309363227002,-0.021716259217939182,-0.03085393051675389,0.0120602251312798,-0.004389503068765732,0.0033772121026089674,0.012077678423800697,-5.235987755958238e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07674949360829864,-0.018168077478762257,-0.05831042035307199,-0.03651264346291594,-0.3741114036231019,0.4229697942274896,0.0,0.0,-0.063281689453125,-0.021093896484375,-0.05906291015625,0.004218779296875,-0.3881276953125,0.43031548828125,0.0039785302734375,0.007957060546875
0.05010196,0.015952309363227002,-0.021716259217939182,-0.03085393051675389,0.0120602251312798,-0.004389503068765732,0.0033772121026089674,0.012077678423800697,-5.235987755958238e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07674948243242774,-0.018168099830504048,-0.058310286242621245,-0.036512554055948776,-0.37411135891961833,0.42296961541355527,0.0,0.0,-0.063281689453125,-0.00843755859375,-0.05906291015625,-0.0506253515625,-0.3881276953125,0.39656525390624997,0.0039785302734375,0.007957060546875
0.060295877000000005,0.015952309363227002,-0.021716259217939182,-0.03085393051675389,0.0120602251312798,-0.004389503068765732,0.0033772121026089674,0.012077678423800697,-5.235987755958238e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07674948243242774,-0.018168099830504048,-0.058310286242621245,-0.036512554055948776,-0.37411135891961833,0.42296961541355527,0.0,0.0,-0.07593802734375,-0.004218779296875,-0.05906291015625,-0.0506253515625,-0.371252578125,0.4218779296875,-0.01591412109375,0.0039785302734375
0.07009625400000001,0.015952309363227002,-0.021716259217939182,-0.03085393051675389,0.0120602251312798,-0.004389503068765732,0.0033772121026089674,0.012077678423800697,-5.235987755958238e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07674943772894416,-0.018168368051405537,-0.058310263890879455,-0.036512487000723404,-0.37411158243703624,0.422969749524006,0.0,0.0,-0.063281689453125,-0.02531267578125,-0.054844130859375,-0.04218779296875,-0.371252578125,0.4218779296875,0.007957060546875,0.007957060546875
0.080267483,0.015952309363227002,-0.021716259217939182,-0.03085393051675389,0.0120602251312798,-0.004389503068765732,0.0033772121026089674,0.012077678423800697,-5.235987755958238e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07674947125655684,-0.018168233940954792,-0.058310286242621245,-0.03651256523181967,-0.3741116271405198,0.42296992833794034,0.0,0.0,-0.101250703125,-0.021093896484375,-0.05906291015625,-0.033750234375,-0.3881276953125,0.4050028125,0.007957060546875,0.0039785302734375
0.09047100000000001,0.015952309363227002,-0.021716259217939182,-0.03085393051675389,0.0120602251312798,-0.004389503068765732,0.0033772121026089674,0.012077678423800697,-5.235987755958238e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07674952713591132,-0.018168256292696583,-0.05831019683565408,-0.03651258758356146,-0.37411153773355266,0.42296988363445676,0.0,0.0,-0.06750046875,-0.021093896484375,-0.05906291015625,-0.00843755859375,-0.371252578125,0.43031548828125,-0.01591412109375,0.0039785302734375
