time_sec,hip_L_Joint_pos_rad,hip_R_Joint_pos_rad,thigh_L_Joint_pos_rad,thigh_R_Joint_pos_rad,knee_L_Joint_pos_rad,knee_R_Joint_pos_rad,wheel_L_Joint_pos_rad,wheel_R_Joint_pos_rad,hip_L_Joint_torque,hip_R_Joint_torque,thigh_L_Joint_torque,thigh_R_Joint_torque,knee_L_Joint_torque,knee_R_Joint_torque,wheel_L_Joint_torque,wheel_R_Joint_torque
1785238967.5798318,-0.031712632508736974,0.0230208928338052,0.9357408251642414,-0.9923942126839771,1.8979844750200137,-1.907182360178024,2.843036631743643,-3.158627067089257,-0.31147104164462647,-1.1067753717158322,0.08537189022325631,-2.0357999225826817,-6.028292961726912,6.497470489042374,0.023424182087183,0.09448157250881195
1785238967.5998075,-0.031712632508736974,0.0230208928338052,0.9357408251642414,-0.9923942126839771,1.8979844750200137,-1.907182360178024,2.843036631743643,-3.158627067089257,-0.31147104164462647,-1.1067753717158322,0.08537189022325631,-2.0357999225826817,-6.028292961726912,6.497470489042374,0.023424182087183,0.09448157250881195
1785238967.6201572,-0.031712632508736974,0.0230208928338052,0.9357408251642414,-0.9923942126839771,1.8979844750200137,-1.907182360178024,2.843036631743643,-3.158627067089257,-0.31147104164462647,-1.1067753717158322,0.08537189022325631,-2.0357999225826817,-6.028292961726912,6.497470489042374,0.023424182087183,0.09448157250881195
1785238967.6400611,-0.03248057737961449,0.021205750411731103,0.9358455449193608,-0.9960244975281252,1.8956806404073812,-1.904442193252393,2.843036631743643,-3.1587143335518566,-0.09544463070124025,-0.09768960049834959,0.9321264675548017,-1.4381382655517816,-5.354185618562808,6.397076514841146,0.4843277091485703,-0.15446049815853452
1785238967.6600664,-0.04101523742186675,-0.008709192967451705,0.9438042463084546,-1.0285399814927794,1.8481291449367956,-1.8510962046651862,2.829807036013526,-3.1225685647430543,-0.37886498506406663,0.16291853675965348,0.9930190940872886,-1.4571354083802892,-5.25659305723742,5.935649424242647,0.906237001500125,-0.7397482498207695
1785238967.679923,-0.04628613176288963,0.000872664625997166,0.946492053356526,-1.0418568436854962,1.839402498676824,-1.838582193928387,2.8055469594108047,-3.0717620302174993,-0.32787152443413614,0.0772435858839492,0.7192930744155491,-1.0262989369435314,-4.560588892360782,4.610093253217224,0.8901770213342074,-0.950514422851608
1785238967.6997893,-0.060004419683565055,0.010175269539126938,0.9753423458919923,-1.0838494654884796,1.8225338914562987,-1.8165735920607384,2.7632750849275025,-2.983657809576825,-0.24967365474737005,-0.012172026090776668,0.28541141588185476,-0.7045113004560533,-4.327482305013655,4.1067917747571325,0.7121933638083181,-0.9398260919829676
1785238967.7200482,-0.0671951762017817,0.001745329251994332,1.0132159906602696,-1.138879696803861,1.7996177183776132,-1.7817717267759716,2.719659306920164,-2.879444199940244,-0.419889305290421,0.02882851839953538,-0.16636113602615424,-0.33493996306132096,-3.7057402736962657,3.383599449793317,0.35400888049826795,-0.773142593623354
1785238967.7397583,-0.07265805676052395,-0.014259339988793671,1.0502169708025488,-1.1797204013005285,1.779336992469439,-1.7501812673148742,2.682169634587326,-2.7567126469400027,-0.58003542893546,0.36067538540045174,-0.32309036474911884,-0.03321100401316959,-3.4525787261473546,2.8391698085357944,0.14891882884744595,-0.6379515092965388
1785238967.7597864,-0.09327039522657699,-0.004590215932745088,1.0714052679217603,-1.2201771333617568,1.7569967780439117,-1.7128399479684555,2.6590614752909207,-2.6364071016000334,-0.6388338141701009,0.5024415884475644,-0.41308700422059913,0.3518000427206775,-3.314211893607532,2.2921965357423293,0.02971403683582534,-0.5727094051645175
1785238967.780651,-0.09480628496833199,0.01785471824790199,1.0742850611875512,-1.2418541226715267,1.7348049166048038,-1.6854208254196246,2.645255920907646,-2.5117556864225987,-0.7356139370113044,0.49036043347168856,-0.45522532256809917,0.49031541462518907,-3.441815672947124,2.266141845756548,-0.11532010918723389,-0.44641770066678216
1785238967.7999344,-0.09384635387973511,0.02532472744643772,1.0770601346982214,-1.2538445346327274,1.7233031968341612,-1.6672519479063637,2.6439992838462096,-2.426618525510315,-0.778065973997398,0.5840777439185585,-0.4788475517513869,0.6125152758144584,-3.528710896705628,2.257674807091634,-0.17016629946229606,-0.38718505379751816
1785238967.8199365,-0.09365436766201574,0.0230208928338052,1.0761002036096246,-1.278855102813806,1.7141925781387508,-1.6441525152562186,2.650998054146707,-2.299977434985607,-0.8764730453490449,0.7130634375249233,-0.4576968134021687,0.75975262447849,-3.764411359277351,2.1386945973939526,-0.2462507446886636,-0.3416703378439608
1785238967.8398547,-0.09278170303601857,0.031939525311496235,1.0688221806288083,-1.294772505591994,1.7100212412264844,-1.6371013850781615,2.658764769318082,-2.207754237310226,-1.0800310362547982,0.8695752918513864,-0.3051732875909007,0.9294465644863037,-4.417122861463684,2.4775073809471437,-0.08972026696714908,-0.4645924302905143
1785238967.8597715,-0.08991936306274786,0.04928809807631987,1.0611427319200333,-1.3102186694721447,1.7067662021715149,-1.6297186423422256,2.6631804523256273,-2.1066996736197545,-1.1311634931427765,0.7924134684479001,-0.3330059384400348,1.0787469493846087,-4.447059273937734,2.354734882590703,-0.0709066241979599,-0.516281292172273
1785238967.8800912,-0.07984881327874058,0.056007615696498037,1.043986145372929,-1.3121210783568178,1.7053699387699195,-1.6290990504577676,2.6608766177129954,-2.0043012064052474,-1.172668136284935,0.7581197698516011,-0.272498776877084,1.1773232693128346,-4.687491301370831,2.4643175531884354,-0.06343798818389641,-0.5161802812333018
1785238967.900102,-0.0740892267471593,0.061662482472959676,1.0242290182403533,-1.3122257981119376,1.7053263055386196,-1.6284270986957499,2.6551344844739333,-1.8946247162099237,-1.2703354245984453,0.8178056021919127,-0.21544195851797499,1.2848627937522386,-4.780758974522963,2.5943085867862465,0.0039519402891212375,-0.5456111702408619
1785238967.919915,-0.06143558967020041,0.08861036612375212,0.9887639278398286,-1.300724078341295,1.7053263055386196,-1.62837473881819,2.6394090679134647,-1.763951915113108,-1.3768100989259235,0.816236094338241,-0.16162807068511634,1.4580890140395948,-4.76675104853572,2.7927684062891647,0.0742311646572496,-0.5730702763952127
1785238967.9398303,-0.0537735942539453,0.1058542191334561,0.959145690433485,-1.285382634216265,1.7053263055386196,-1.6274671676071528,2.6220604951486406,-1.649179063501961,-1.4303284911321517,0.8884032863160694,-0.04178221247029744,1.6116452727903616,-4.773008820981398,2.98987260440241,0.1474233783683688,-0.6015779988280219
1785238967.9598227,-0.04302236606166023,0.1139176402776699,0.9216560181006463,-1.259010709218631,1.7052739456610597,-1.6235838100214655,2.5968404874573228,-1.5233931843107298,-1.4777223253312775,0.9434685022538686,0.0886236958603802,1.5798153315831929,-4.6811684728016605,3.1428652218773134,0.1959682583222724,-0.621719610802326
1785238967.979892,-0.032777283352453515,0.13060298792673566,0.8798553825153825,-1.225744733675619,1.7050819594433404,-1.612658048903981,2.5621258886351557,-1.3772916726262843,-1.4579027294640434,0.8606809518146219,0.29021306924528356,1.5651317134383482,-4.586211569123174,3.433719751513808,0.29478443516107855,-0.6620102176059275
1785238967.9996586,-0.02960078411382384,0.1415287490442202,0.8398698893521921,-1.190279643275094,1.704889973225621,-1.5995157196364638,2.514967092246269,-1.214871332435692,-1.3955751532335847,0.7855641220995828,0.39646351300494875,1.4831079689577817,-4.557790436453902,3.4517720895502615,0.30959628457465527,-0.6685523272055223
1785238968.0199416,-0.024329889772800962,0.14180800172453928,0.7974932951137697,-1.1442553109000033,1.7047939801167613,-1.5728645419585103,2.4399877475805924,-1.001941163692384,-1.1436449673914575,0.6619779723129016,0.8066672314479486,1.2766255003255422,-4.776097456106339,3.906389356512564,0.5483512287068634,-0.7728524270168253
1785238968.039787,-0.023561944901923454,0.14191272147965892,0.7686430025783038,-1.0948799463610839,1.7047939801167613,-1.5294320235226313,2.3392298898629607,-0.7585200929167348,-0.9670660189344379,0.5663474712811603,1.1239989896821843,0.9650178279784649,-5.077832051739444,4.254413138950878,0.761736987894241,-0.8959331230261027
1785238968.0600374,-0.021746802479849357,0.13779374444495232,0.7683462966054648,-1.0528873245581005,1.7047503468854615,-1.4684589461042095,2.2103722311882184,-0.4804891430740379,-0.631711031126718,0.3844197765455167,1.3399109406711125,0.6352183225412782,-5.340156663618503,4.4735594627923625,1.0410545904437372,-1.1006182044810264
1785238968.079972,-0.022130774915288105,0.11602948867258303,0.7828325293970173,-1.0163575833138587,1.6962156868432092,-1.3629014329435925,1.9811406872312836,-0.08740608893987512,-0.440813226186804,0.44421759380893083,1.6822427207544854,0.35046217389497986,-5.618439553290762,4.682097992213508,1.347029960003803,-1.30327464173228
1785238968.0998502,-0.03132866007329822,0.10068804454755287,0.8274082384929526,-1.0060950473121326,1.6799143116295823,-1.254036520850446,1.7521011294920672,0.27625071400566337,-0.426845488135357,0.4739667215056909,1.7470803433999347,0.1318826449157093,-5.821518311606918,4.662287812000071,1.5289923589129237,-1.4197956704040389
1785238968.119833,-0.04677482395344804,0.10414379646650165,0.88378237333237,-0.9992882632293543,1.6663007434640265,-1.135013792510693,1.558037969962818,0.5550496087192374,-0.5106056035997143,0.47464089799335873,1.6825627249980801,-0.09286788372203922,-6.029970861099946,4.410177881190535,1.7183345297003694,-1.5209621514275307
1785238968.139932,-0.07140141969908803,0.12494812115027404,1.0132159906602696,-0.9700539982584497,1.6228769516744075,-0.8484918158570436,1.1741702542791848,1.0522415527348625,-1.024344849584173,0.32504483624210945,1.3417376793198155,-0.6120022274319302,-5.2462809907207095,2.5419945522452396,2.1151510404378064,-1.5478974442966085
1785238968.160254,-0.09374163412461545,0.15159929882822748,1.1150210459290983,-0.8837649200398503,1.503941489797254,-0.4668144883846639,0.7086909427722976,1.5709184998425372,-1.12196504187809,0.01862505911430351,0.9653305724867358,-1.0049068465375635,-3.613506037113836,0.10842074715665417,2.1767907929156296,-1.4036732625517359
1785238968.1799157,-0.08742354223239598,0.18467328815352002,1.0794686890659735,-0.7725525401027706,1.3449332682943105,-0.2058004987489117,0.4248131399354196,1.8832800760719624,-0.5346378218119149,-0.11606386058747738,0.40804404143536877,-1.1420387548349038,-0.3404675833359524,-4.661324951123037,1.9268912570564283,-1.1365581060440504
1785238968.1997783,-0.05328490206338689,0.2270498823919423,0.9812939186412932,-0.619347538362709,1.1002642871034856,0.04596324585127043,0.01822123739082082,2.302735055203759,0.28043017442661017,-1.4504615508741525,0.8206169843011074,-1.9363050680954856,3.572185768368928,-8.483879569752949,1.0046734308126195,-0.6686291520104959
1785238968.2198424,-0.054541539124822805,0.19463911818240764,0.9516582279424286,-0.6098529472318597,0.9343532884089045,0.06709918309292151,-0.3230953511291904,2.644802135302128,0.5236459307516793,-0.8471136037701286,0.8110729611733533,-1.9185991331766157,3.5781012996687602,-8.028242415419692,1.0112133543675712,-0.6290252386486319
1785238968.2397575,-0.05232497097479001,0.1396088868670264,0.9754296123545916,-0.6899984664834395,0.893564943789797,-0.0775187987273287,-0.6147398691374428,2.9380872628072545,0.7202585542920831,-0.6668475036502857,0.3279979691232132,-1.6526381275064783,2.964799737090484,-7.121971220985779,1.0500449077575165,-0.6424241458775035
1785238968.2598488,-0.06250024051391695,0.10527826048029795,0.9935635832828131,-0.7856774160777684,0.9354615724839208,-0.3395014460979373,-0.8658403886218671,3.1845801130664144,0.6112046349802512,-0.3917051717455237,-0.2489100270614533,-0.9505963454673907,1.7742731649017105,-5.948396005338094,1.0649885619113102,-0.6095725178156887
1785238968.2798028,-0.10889109203192623,0.10241592050702726,0.9788853642735407,-0.9002582814711961,1.0211659654031024,-0.6944228761372443,-1.1357206508577502,3.4626110629091107,0.6812077627082525,-0.36122603655634905,-0.5377445726305236,-0.5027916987904193,0.11357240010134198,-4.1761853738948895,1.0926893472780292,-0.5695366793426481
1785238968.2998512,-0.11292280260403313,0.09810495725460126,0.953490823657023,-0.9791646169538599,1.077924072677958,-0.9550528933375575,-1.3338853341291863,3.6626956083577404,0.2914924768318266,-0.4590738624710547,-0.4526462332943608,-0.4947078339875117,-1.0304560351439913,-2.227574882108198,1.2069738805054473,-0.5883429828729628
1785238968.3197918,-0.08281587300713095,0.060702551384362785,0.9267349262239502,-1.0627658881243884,1.1096105252479151,-1.2918578057411634,-1.5890175641857174,3.9126442105358494,-0.6503789195923586,-0.20431853445589682,0.04020244028919809,-0.5266576589950502,-2.8294393471578223,1.784846878605558,1.4110527854599528,-0.6873742385778375
1785238968.3399014,-0.09403834009745449,0.029164451800825254,0.8696801129762557,-1.115963523725176,1.0784563980998163,-1.5819751606539207,-1.7979160223569188,4.135452942845444,-1.0857725427004206,-0.0027417831218170333,0.604493582899412,-0.4621548097125255,-3.1877226972633306,3.6155369943412685,1.4333072613753677,-0.7632771838260589
1785238968.359904,-0.10487683475233928,0.0171740398396242,0.853867429953187,-1.1102213904861138,1.0143591813203245,-1.7298132749441004,-1.9418358724763711,4.322028639883639,-1.9843627036294864,-0.016422332653953847,1.3445090218840925,-0.6072285845986126,-3.5406563727376015,6.411721557421154,1.545165775401026,-0.8669510381099667
1785238968.3803554,-0.15022048871915195,-0.05981243346584567,0.8532914713000284,-1.0780026124942985,0.8730485984326037,-1.8071313608074493,-2.152654192824766,4.578487320171686,-1.7902087640462683,0.7218308800534272,1.3319093213045292,-0.1875659422755195,-2.505171649457288,5.261917136066199,1.4124742556748124,-0.8125763397412333
1785238968.400111,-0.1764876939616666,-0.13238322376376987,0.8284554360441492,-1.0331301974255247,0.7406915546076136,-1.7860390567970976,-2.3283913952080755,4.77426090236789,-0.971289568213755,0.992204712000603,0.5151013424538579,0.3384760377757364,-1.803531305353212,1.5835724584043196,1.1045478222308562,-0.5230464780060387
1785238968.420185,-0.25356143372973616,-0.1448448746230094,0.7746818417902039,-0.9498256322278356,0.5229093705437611,-1.7079530260628715,-2.5686534200376148,5.0003334003787145,-0.0905193943843188,0.9868500949974259,-0.03058737067965467,0.8822335037122871,-1.001748837166402,-1.0921557914636102,0.8026646173435712,-0.17919851163096073
1785238968.4401665,-0.3040014491123723,-0.16795303391941432,0.6642374067240029,-0.930836449966137,0.33553082204965,-1.703493709824026,-2.715714862810657,5.104547010015296,0.029674125751798702,1.1764898274284485,0.33889889708407767,0.7764548880980223,-1.0375840238801994,-0.5741203695946414,0.8223681677813508,-0.13197902227129854
1785238968.459794,-0.36046285041438886,-0.21560052249885955,0.5472654402553432,-0.9437867930159349,0.10346311805822395,-1.6931875405909993,-2.9038264495906057,5.21422350021062,-0.005286768785091905,1.2710147632555833,0.8993216700174198,0.7866523529666754,-0.7392097488539067,-0.5483024916204862,0.9467729520218768,-0.15867426346161384
