time_sec,source_time_sec,hip_L_Joint_pos_rad,hip_R_Joint_pos_rad,thigh_L_Joint_pos_rad,thigh_R_Joint_pos_rad,knee_L_Joint_pos_rad,knee_R_Joint_pos_rad,wheel_L_Joint_pos_rad,wheel_R_Joint_pos_rad,hip_L_Joint_vel_rad/s,hip_R_Joint_vel_rad/s,thigh_L_Joint_vel_rad/s,thigh_R_Joint_vel_rad/s,knee_L_Joint_vel_rad/s,knee_R_Joint_vel_rad/s,wheel_L_Joint_vel_rad/s,wheel_R_Joint_vel_rad/s,hip_L_Joint_torque,hip_R_Joint_torque,thigh_L_Joint_torque,thigh_R_Joint_torque,knee_L_Joint_torque,knee_R_Joint_torque,wheel_L_Joint_torque,wheel_R_Joint_torque,hip_L_Joint_actual_torque,hip_R_Joint_actual_torque,thigh_L_Joint_actual_torque,thigh_R_Joint_actual_torque,knee_L_Joint_actual_torque,knee_R_Joint_actual_torque,wheel_L_Joint_actual_torque,wheel_R_Joint_actual_torque
0.0,0.0,-0.0003316125578800566,0.0029845130209098514,-0.01048942880448589,0.04098033083682928,0.06049311187412321,-0.02403318379996211,-0.15879005534644275,-6.624693881917317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.5,-0.00843755859375,0.004218779296875,-0.004218779296875,0.0,0.0,0.02531267578125,-0.0039785302734375,0.007957060546875
0.004557363,0.0,-0.0003316125578800566,0.0029845130209098514,-0.01048942880448589,0.04098033083682928,0.06049311187412321,-0.02403318379996211,-0.15879005534644275,-6.624693881917317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.5,0.04218779296875,-0.012656337890625,0.021093896484375,-0.004218779296875,-0.0168751171875,0.02531267578125,-0.0039785302734375,0.007957060546875
0.008128884000000001,0.0,-0.0003316125578800566,0.0029845130209098514,-0.01048942880448589,0.04098033083682928,0.06049311187412321,-0.02403318379996211,-0.15926129424448154,-6.624222643019278,0.0,0.0,0.0,0.0,0.0,0.0,-0.21991148575128555,0.22165681500327988,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.5,-0.00843755859375,-0.012656337890625,0.0,0.0,-0.0168751171875,0.02531267578125,-0.17903386230468749,0.1551626806640625
0.013245874000000001,0.0,-0.0003316125578800566,0.0029845130209098514,-0.010576695267085157,0.04098033083682928,0.06049311187412321,-0.02403318379996211,-0.16090190374135638,-6.622494767059804,0.0,0.0,-0.022689280275926284,0.0,-0.0017453292519943296,0.0,-0.3298672286269283,0.3473205211468716,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.5,0.04218779296875,-0.00843755859375,-0.00843755859375,0.0,0.0,-0.00843755859375,-0.294411240234375,0.2745185888671875
0.018404880000000002,0.0,-0.0003316125578800566,0.0029845130209098514,-0.010681415022204988,0.04098033083682928,0.06044947864282335,-0.023989550568662477,-0.16262977970083048,-6.620854157562929,0.0,0.0,0.0,0.010471975511965978,-0.01308996938995747,0.020071286397934793,-0.3839724354387525,0.37699111843077515,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.5,0.0,-0.00843755859375,0.02531267578125,0.0,-0.0168751171875,0.02531267578125,-0.3700033154296875,0.3461321337890625
0.023381195,0.0,-0.0003316125578800566,0.0029845130209098514,-0.010297442586766792,0.04089306437422913,0.06039711876526366,-0.023893557459803372,-0.1651256005311823,-6.618358336732578,0.0,0.0,0.07330382858376185,-0.048869219055841226,0.0,0.0017453292519943296,-0.6108652381980153,0.6161012259539984,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.5,0.04218779296875,-0.00843755859375,0.02531267578125,-0.004218779296875,-0.04218779296875,0.033750234375,-0.4177456787109375,0.405810087890625
0.028330470000000003,0.0,-0.0003316125578800566,0.0029845130209098514,-0.010210176124166637,0.040788344619109296,0.06044947864282335,-0.023893557459803372,-0.1695238302462081,-6.614047373480152,0.0,0.0,0.02617993877991494,-0.020943951023931956,0.008726646259971648,0.0,-1.0227629416686772,0.9808750396208132,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.5,-0.012656337890625,0.037969013671875,-0.012656337890625,0.004218779296875,0.0,0.033750234375,-0.3700033154296875,0.43763833007812497
0.033618502,0.0,-0.0003316125578800566,0.0029845130209098514,-0.010105456369046806,0.04059635840138931,0.06039711876526366,-0.023893557459803372,-0.1749867108049501,-6.608584492921409,0.0,0.0,0.008726646259971648,-0.038397243543875255,-0.01308996938995747,0.008726646259971648,-1.1362093430483087,1.1414453308042916,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.5,-0.012656337890625,0.029531455078125,0.0,0.0,0.0,-0.07593802734375,-0.4257027392578125,0.4018315576171875
0.038611074,0.0,-0.0003316125578800566,0.0029845130209098514,-0.00972148393360861,0.04031710572107183,0.0603534855339638,-0.023841197582243012,-0.18189821464284783,-6.601690442376031,0.0,0.0,0.11868238913561442,-0.07679448708775051,-0.006981317007977318,0.008726646259971648,-1.4364059743913336,1.476548547187203,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.5,-0.012656337890625,-0.0168751171875,-0.00843755859375,0.004218779296875,-0.02531267578125,0.0506253515625,-0.453552451171875,0.4257027392578125
0.043949059000000006,0.0,-0.0003316125578800566,0.0029845130209098514,-0.009145525280450428,0.03982841353051203,0.0603534855339638,-0.023841197582243012,-0.1898569160319421,-6.5935397547692185,0.0,0.0,0.10122909661567113,-0.09773843811168245,0.004363323129985824,0.0,-1.7069320084504547,1.7034413499464658,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.5,-0.012656337890625,-0.012656337890625,-0.00843755859375,0.0,-0.0168751171875,-0.07593802734375,-0.485380693359375,0.4097886181640625
0.048602296,0.0,-0.0003316125578800566,0.0029845130209098514,-0.008569566627292247,0.03925245487735385,0.0603534855339638,-0.023841197582243012,-0.19935150716279137,-6.58366119120293,0.0,0.0,0.10646508437165411,-0.11519173063162574,0.0,0.0,-1.9757127132575811,2.007128639793479,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.5,-0.00843755859375,-0.00843755859375,0.0,-0.004218779296875,0.02531267578125,-0.09281314453125,-0.42968126953124997,0.46150951171875
0.055083919,0.0,-0.0003316125578800566,0.0029845130209098514,-0.008098327729253896,0.0385892297615964,0.0603534855339638,-0.023841197582243012,-0.210172548525156,-6.572927416303166,0.0,0.0,0.10122909661567113,-0.10995574287564278,0.0,0.0,-2.26543736908864,2.350958502436362,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.5,-0.012656337890625,0.029531455078125,-0.004218779296875,0.012656337890625,-0.0168751171875,0.033750234375,-0.39387449707031247,0.38193890625
