time_sec,hip_L_Joint_pos_rad,hip_R_Joint_pos_rad,thigh_L_Joint_pos_rad,thigh_R_Joint_pos_rad,knee_L_Joint_pos_rad,knee_R_Joint_pos_rad,wheel_L_Joint_pos_rad,wheel_R_Joint_pos_rad
1782107636.745948,-0.006806784082777875,0.0007330382858376228,0.05301088537082421,-0.007951720072085333,-1.3193991013376336,1.2444721165495167,0.09028588220566647,5.369313457542834
1782107636.8465407,-0.00699877030049725,0.0006283185307179515,0.052818899153105114,-0.007864453609486066,-1.3193991013376336,1.2444721165495167,0.09028588220566647,5.369313457542834
1782107636.945895,-0.0069115038378975355,0.0006283185307179515,0.052818899153105114,-0.007759733854366235,-1.3193991013376336,1.2444721165495167,0.09028588220566647,5.369313457542834
1782107637.0458977,-0.006806784082777875,0.0007330382858376228,0.052818899153105114,-0.007759733854366235,-1.3193991013376336,1.2444721165495167,0.09028588220566647,5.369313457542834
1782107637.1458676,-0.00699877030049725,0.0006283185307179515,0.0527316326905054,-0.00767246739176608,-1.3193991013376336,1.2444721165495167,0.09028588220566647,5.369313457542834
1782107637.2459064,-0.00699877030049725,0.0006283185307179515,0.0527316326905054,-0.00767246739176608,-1.3193991013376336,1.2444721165495167,0.09028588220566647,5.369313457542834
1782107637.345903,-0.005759586531581276,0.0011170107212763666,0.0527316326905054,-0.007759733854366235,-1.3193991013376336,1.2444721165495167,0.09028588220566647,5.369313457542834
1782107637.445984,-0.006038839211900366,0.0010122909661567092,0.05301088537082421,-0.008056439827205164,-1.3193991013376336,1.2444721165495167,0.09028588220566647,5.369313457542834
1782107637.5458744,-0.006335545184739406,0.0009250245035569912,0.0529236189082245,-0.007951720072085333,-1.3193991013376336,1.2444721165495167,0.09028588220566647,5.369313457542834
1782107637.6458728,-0.006614797865058499,0.0009250245035569912,0.05301088537082421,-0.008056439827205164,-1.3193991013376336,1.2444721165495167,0.09028588220566647,5.369313457542834
1782107637.745847,-0.006527531402458781,0.0010122909661567092,0.053202871588543754,-0.008335692507524417,-1.3193991013376336,1.2444721165495167,0.09028588220566647,5.369313457542834
