time_sec,hip_L_Joint,hip_R_Joint,thigh_L_Joint,thigh_R_Joint,knee_L_Joint,knee_R_Joint,wheel_L_Joint,wheel_R_Joint
2553.764942918,0.0099,0.0052,1.0658,-1.0425,2.1012,-2.0972,2.1789,-2.289
2553.769942918,0.0099,0.0053,1.0641,-1.0408,2.1013,-2.0972,2.1839,-2.2941
2553.774942918,0.0099,0.0052,1.0625,-1.0391,2.1014,-2.0972,2.189,-2.2993
2553.779942918,0.0099,0.0053,1.0608,-1.0374,2.1014,-2.0973,2.1942,-2.3045
2553.784942918,0.0099,0.0052,1.0591,-1.0356,2.1015,-2.0973,2.1995,-2.3099
2553.789942918,0.0099,0.0053,1.0573,-1.0338,2.1015,-2.0973,2.2049,-2.3154
2553.794942918,0.0099,0.0052,1.0556,-1.032,2.1016,-2.0973,2.2104,-2.321
2553.799942918,0.0099,0.0053,1.0537,-1.0301,2.1017,-2.0973,2.2159,-2.3266
2553.804942918,0.0099,0.0052,1.0519,-1.0282,2.1017,-2.0973,2.2216,-2.3324
2553.809942917,0.0099,0.0053,1.05,-1.0263,2.1018,-2.0973,2.2273,-2.3382
2553.814942917,0.0099,0.0052,1.0481,-1.0243,2.1018,-2.0973,2.2332,-2.3442
2553.819942917,0.0099,0.0053,1.0462,-1.0223,2.1018,-2.0973,2.2391,-2.3502
2553.824942917,0.0099,0.0052,1.0442,-1.0202,2.1019,-2.0973,2.2451,-2.3564
2553.829942917,0.0099,0.0053,1.0422,-1.0182,2.1019,-2.0973,2.2512,-2.3626
2553.834942917,0.0099,0.0052,1.0401,-1.0161,2.1019,-2.0972,2.2575,-2.3689
2553.839942917,0.0099,0.0052,1.038,-1.0139,2.102,-2.0972,2.2638,-2.3753
2553.844942917,0.0099,0.0053,1.0359,-1.0117,2.102,-2.0972,2.2701,-2.3819
2553.849942917,0.0099,0.0052,1.0338,-1.0095,2.102,-2.0971,2.2766,-2.3884
2553.854942916,0.0099,0.0053,1.0316,-1.0073,2.102,-2.0971,2.2832,-2.3952
2553.859942916,0.0099,0.0052,1.0294,-1.005,2.102,-2.097,2.2899,-2.4019
2553.864942916,0.0099,0.0053,1.0271,-1.0027,2.102,-2.097,2.2967,-2.4088
2553.869942916,0.0099,0.0052,1.0249,-1.0003,2.102,-2.0969,2.3035,-2.4157
2553.874942916,0.0099,0.0052,1.0225,-0.9979,2.102,-2.0968,2.3105,-2.4228
2553.879942916,0.0099,0.0052,1.0202,-0.9956,2.102,-2.0968,2.3175,-2.4299
2553.884942916,0.0099,0.0052,1.0178,-0.9931,2.1019,-2.0967,2.3247,-2.4371
2553.889942916,0.0099,0.0053,1.0154,-0.9906,2.1019,-2.0966,2.3319,-2.4444
2553.894942915,0.0099,0.0052,1.0129,-0.9881,2.1018,-2.0965,2.3392,-2.4517
2553.899942915,0.0099,0.0053,1.0104,-0.9856,2.1018,-2.0964,2.3466,-2.4592
2553.904942915,0.0099,0.0052,1.0079,-0.983,2.1017,-2.0962,2.354,-2.4667
2553.909942915,0.0099,0.0053,1.0054,-0.9804,2.1017,-2.0961,2.3616,-2.4743
2553.914942915,0.0099,0.0052,1.0028,-0.9778,2.1016,-2.0959,2.3692,-2.482
