time_sec,hip_L_Joint,hip_R_Joint,thigh_L_Joint,thigh_R_Joint,knee_L_Joint,knee_R_Joint,wheel_L_Joint,wheel_R_Joint
141.189996844,0.0102,0.0056,0.3385,-0.3081,1.8702,-1.8454,4.0646,-4.1813
141.194996844,0.0103,0.0056,0.3385,-0.308,1.8702,-1.8454,4.0645,-4.1813
141.199996843,0.0102,0.0056,0.3386,-0.3081,1.8702,-1.8454,4.0644,-4.1813
141.204996843,0.0102,0.0056,0.3386,-0.3081,1.8703,-1.8454,4.0643,-4.1812
141.209996843,0.0102,0.0056,0.3386,-0.3081,1.8703,-1.8454,4.0642,-4.1812
141.214996843,0.0102,0.0056,0.3387,-0.3081,1.8703,-1.8454,4.0641,-4.1812
141.219996843,0.0102,0.0056,0.3387,-0.3081,1.8703,-1.8454,4.064,-4.1811
141.224996843,0.0102,0.0056,0.3388,-0.3081,1.8704,-1.8454,4.0639,-4.1811
141.229996843,0.0102,0.0056,0.3388,-0.3081,1.8704,-1.8454,4.0638,-4.1811
141.234996843,0.0102,0.0056,0.3388,-0.3081,1.8704,-1.8454,4.0638,-4.1811
141.239996843,0.0102,0.0056,0.3389,-0.3082,1.8704,-1.8455,4.0636,-4.181
141.244996842,0.0103,0.0056,0.3389,-0.3081,1.8705,-1.8455,4.0635,-4.1811
141.249996842,0.0103,0.0056,0.339,-0.3082,1.8705,-1.8455,4.0635,-4.181
141.254996842,0.0102,0.0056,0.339,-0.3082,1.8705,-1.8455,4.0634,-4.181
141.259996842,0.0102,0.0056,0.339,-0.3082,1.8705,-1.8455,4.0633,-4.181
141.264996842,0.0102,0.0056,0.3391,-0.3082,1.8706,-1.8455,4.0632,-4.181
141.269996842,0.0102,0.0056,0.3391,-0.3082,1.8706,-1.8455,4.0631,-4.1809
141.274996842,0.0102,0.0056,0.3392,-0.3082,1.8706,-1.8455,4.063,-4.1809
141.279996842,0.0102,0.0056,0.3392,-0.3082,1.8706,-1.8455,4.0629,-4.1809
141.284996842,0.0103,0.0056,0.3392,-0.3082,1.8707,-1.8455,4.0628,-4.1809
141.289996841,0.0102,0.0056,0.3393,-0.3082,1.8707,-1.8455,4.0627,-4.1808
141.294996841,0.0102,0.0056,0.3393,-0.3082,1.8707,-1.8455,4.0626,-4.1808
141.299996841,0.0102,0.0056,0.3394,-0.3083,1.8708,-1.8455,4.0626,-4.1808
141.304996841,0.0102,0.0056,0.3394,-0.3083,1.8708,-1.8455,4.0624,-4.1808
141.309996841,0.0103,0.0056,0.3394,-0.3083,1.8708,-1.8455,4.0624,-4.1808
141.314996841,0.0103,0.0056,0.3395,-0.3083,1.8708,-1.8455,4.0623,-4.1808
141.319996841,0.0102,0.0056,0.3395,-0.3083,1.8709,-1.8455,4.0622,-4.1807
141.324996841,0.0103,0.0056,0.3396,-0.3083,1.8709,-1.8456,4.0621,-4.1807
141.329996841,0.0102,0.0056,0.3396,-0.3083,1.8709,-1.8456,4.062,-4.1807
141.33499684,0.0102,0.0056,0.3396,-0.3083,1.8709,-1.8456,4.0619,-4.1807
141.33999684,0.0103,0.0056,0.3397,-0.3083,1.871,-1.8456,4.0618,-4.1807
141.34499684,0.0102,0.0056,0.3397,-0.3083,1.871,-1.8456,4.0617,-4.1807
141.34999684,0.0103,0.0056,0.3398,-0.3083,1.871,-1.8456,4.0616,-4.1806
141.35499684,0.0102,0.0056,0.3398,-0.3083,1.871,-1.8456,4.0615,-4.1806
141.35999684,0.0103,0.0056,0.3398,-0.3083,1.8711,-1.8456,4.0614,-4.1806
141.36499684,0.0102,0.0056,0.3399,-0.3083,1.8711,-1.8456,4.0614,-4.1806
141.36999684,0.0102,0.0056,0.3399,-0.3084,1.8711,-1.8456,4.0612,-4.1806
141.37499684,0.0103,0.0056,0.34,-0.3084,1.8712,-1.8456,4.0611,-4.1806
141.379996839,0.0102,0.0056,0.34,-0.3083,1.8712,-1.8456,4.0611,-4.1806
141.384996839,0.0103,0.0056,0.34,-0.3084,1.8712,-1.8456,4.061,-4.1805
141.389996839,0.0102,0.0056,0.3401,-0.3084,1.8712,-1.8456,4.0609,-4.1805
141.394996839,0.0102,0.0056,0.3401,-0.3084,1.8713,-1.8456,4.0608,-4.1805
141.399996839,0.0102,0.0056,0.3402,-0.3084,1.8713,-1.8456,4.0607,-4.1805
141.404996839,0.0102,0.0056,0.3402,-0.3084,1.8713,-1.8456,4.0606,-4.1804
141.409996839,0.0102,0.0056,0.3402,-0.3084,1.8713,-1.8456,4.0605,-4.1804
141.414996839,0.0102,0.0056,0.3403,-0.3084,1.8714,-1.8456,4.0604,-4.1804
141.419996839,0.0102,0.0056,0.3403,-0.3084,1.8714,-1.8457,4.0603,-4.1804
141.424996838,0.0102,0.0056,0.3404,-0.3085,1.8714,-1.8457,4.0602,-4.1803
141.429996838,0.0102,0.0056,0.3404,-0.3085,1.8714,-1.8457,4.0601,-4.1803
141.434996838,0.0102,0.0056,0.3405,-0.3085,1.8715,-1.8457,4.06,-4.1803
141.439996838,0.0103,0.0056,0.3405,-0.3085,1.8715,-1.8457,4.0599,-4.1803
141.444996838,0.0102,0.0056,0.3405,-0.3085,1.8715,-1.8457,4.0599,-4.1803
141.449996838,0.0102,0.0056,0.3406,-0.3085,1.8716,-1.8457,4.0597,-4.1802
141.454996838,0.0103,0.0056,0.3406,-0.3085,1.8716,-1.8457,4.0597,-4.1803
141.459996838,0.0102,0.0056,0.3407,-0.3085,1.8716,-1.8457,4.0596,-4.1802
141.464996838,0.0102,0.0056,0.3407,-0.3085,1.8716,-1.8457,4.0595,-4.1802
141.469996837,0.0103,0.0056,0.3407,-0.3085,1.8717,-1.8457,4.0594,-4.1802
141.474996837,0.0102,0.0056,0.3408,-0.3085,1.8717,-1.8457,4.0593,-4.1802
141.479996837,0.0102,0.0056,0.3408,-0.3085,1.8717,-1.8457,4.0592,-4.1802
141.484996837,0.0103,0.0056,0.3409,-0.3085,1.8717,-1.8457,4.0591,-4.1802
141.489996837,0.0102,0.0056,0.3409,-0.3085,1.8718,-1.8457,4.059,-4.1802
141.494996837,0.0102,0.0056,0.3409,-0.3085,1.8718,-1.8457,4.0589,-4.1801
141.499996837,0.0102,0.0056,0.341,-0.3086,1.8718,-1.8457,4.0588,-4.1801
141.504996837,0.0102,0.0056,0.341,-0.3086,1.8718,-1.8457,4.0587,-4.1801
141.509996837,0.0102,0.0056,0.3411,-0.3086,1.8719,-1.8458,4.0586,-4.1801
141.514996836,0.0102,0.0056,0.3411,-0.3086,1.8719,-1.8458,4.0585,-4.18
141.519996836,0.0102,0.0056,0.3411,-0.3086,1.8719,-1.8458,4.0584,-4.18
141.524996836,0.0102,0.0056,0.3412,-0.3086,1.872,-1.8458,4.0584,-4.18
141.529996836,0.0102,0.0056,0.3412,-0.3086,1.872,-1.8458,4.0583,-4.18
141.534996836,0.0102,0.0056,0.3413,-0.3086,1.872,-1.8458,4.0582,-4.18
141.539996836,0.0102,0.0056,0.3413,-0.3086,1.872,-1.8458,4.0581,-4.1799
141.544996836,0.0102,0.0056,0.3413,-0.3086,1.8721,-1.8458,4.058,-4.1799
141.549996836,0.0102,0.0056,0.3414,-0.3087,1.8721,-1.8458,4.0579,-4.1799
141.554996835,0.0102,0.0056,0.3414,-0.3087,1.8721,-1.8458,4.0578,-4.1798
141.559996835,0.0103,0.0056,0.3415,-0.3087,1.8721,-1.8458,4.0577,-4.1798
141.564996835,0.0102,0.0056,0.3415,-0.3087,1.8722,-1.8458,4.0576,-4.1798
141.569996835,0.0103,0.0056,0.3415,-0.3087,1.8722,-1.8458,4.0575,-4.1798
141.574996835,0.0102,0.0056,0.3416,-0.3087,1.8722,-1.8458,4.0574,-4.1798
141.579996835,0.0102,0.0056,0.3416,-0.3087,1.8722,-1.8458,4.0573,-4.1798
141.584996835,0.0103,0.0056,0.3417,-0.3087,1.8723,-1.8458,4.0572,-4.1798
141.589996835,0.0102,0.0056,0.3417,-0.3087,1.8723,-1.8458,4.0571,-4.1798
141.594996835,0.0102,0.0056,0.3417,-0.3087,1.8723,-1.8458,4.057,-4.1797
141.599996834,0.0102,0.0056,0.3418,-0.3087,1.8724,-1.8459,4.057,-4.1797
141.604996834,0.0102,0.0056,0.3418,-0.3087,1.8724,-1.8459,4.0569,-4.1797
141.609996834,0.0102,0.0056,0.3419,-0.3088,1.8724,-1.8459,4.0568,-4.1797
141.614996834,0.0102,0.0056,0.3419,-0.3088,1.8724,-1.8459,4.0567,-4.1796
141.619996834,0.0102,0.0056,0.342,-0.3088,1.8725,-1.8459,4.0566,-4.1796
141.624996834,0.0102,0.0056,0.342,-0.3088,1.8725,-1.8459,4.0565,-4.1796
141.629996834,0.0103,0.0056,0.342,-0.3088,1.8725,-1.8459,4.0564,-4.1796
141.634996834,0.0103,0.0056,0.3421,-0.3088,1.8725,-1.8459,4.0563,-4.1796
141.639996834,0.0102,0.0056,0.3421,-0.3088,1.8726,-1.8459,4.0562,-4.1795
141.644996833,0.0103,0.0056,0.3422,-0.3088,1.8726,-1.8459,4.0561,-4.1795
141.649996833,0.0102,0.0056,0.3422,-0.3088,1.8726,-1.8459,4.056,-4.1795
141.654996833,0.0102,0.0056,0.3422,-0.3088,1.8726,-1.8459,4.0559,-4.1795
141.659996833,0.0103,0.0056,0.3423,-0.3088,1.8727,-1.8459,4.0558,-4.1795
141.664996833,0.0102,0.0056,0.3423,-0.3088,1.8727,-1.8459,4.0557,-4.1795
141.669996833,0.0102,0.0056,0.3424,-0.3088,1.8727,-1.8459,4.0556,-4.1795
141.674996833,0.0102,0.0056,0.3424,-0.3088,1.8728,-1.8459,4.0555,-4.1794
141.679996833,0.0102,0.0056,0.3424,-0.3089,1.8728,-1.8459,4.0555,-4.1794
141.684996833,0.0102,0.0056,0.3425,-0.3089,1.8728,-1.846,4.0553,-4.1794
141.689996832,0.0102,0.0056,0.3425,-0.3089,1.8728,-1.846,4.0553,-4.1794
141.694996832,0.0102,0.0056,0.3426,-0.3089,1.8729,-1.846,4.0552,-4.1793
141.699996832,0.0102,0.0056,0.3426,-0.3089,1.8729,-1.846,4.0551,-4.1793
141.704996832,0.0103,0.0056,0.3427,-0.3089,1.8729,-1.846,4.055,-4.1793
141.709996832,0.0103,0.0056,0.3427,-0.3089,1.8729,-1.846,4.0549,-4.1793
141.714996832,0.0102,0.0056,0.3427,-0.3089,1.873,-1.846,4.0548,-4.1793
141.719996832,0.0103,0.0056,0.3428,-0.3089,1.873,-1.846,4.0547,-4.1793
141.724996832,0.0102,0.0056,0.3428,-0.3089,1.873,-1.846,4.0546,-4.1793
141.729996832,0.0102,0.0056,0.3429,-0.3089,1.8731,-1.846,4.0545,-4.1792
141.734996831,0.0103,0.0056,0.3429,-0.3089,1.8731,-1.846,4.0544,-4.1793
141.739996831,0.0102,0.0056,0.3429,-0.3089,1.8731,-1.846,4.0543,-4.1792
141.744996831,0.0102,0.0056,0.343,-0.3089,1.8731,-1.846,4.0542,-4.1792
141.749996831,0.0103,0.0056,0.343,-0.3089,1.8732,-1.846,4.0541,-4.1792
141.754996831,0.0102,0.0056,0.3431,-0.3089,1.8732,-1.846,4.054,-4.1792
141.759996831,0.0102,0.0056,0.3431,-0.309,1.8732,-1.846,4.0539,-4.1792
141.764996831,0.0102,0.0056,0.3431,-0.309,1.8732,-1.846,4.0538,-4.1792
141.769996831,0.0102,0.0056,0.3432,-0.309,1.8733,-1.846,4.0537,-4.1792
141.774996831,0.0102,0.0056,0.3432,-0.309,1.8733,-1.846,4.0536,-4.1791
141.77999683,0.0102,0.0056,0.3433,-0.309,1.8733,-1.846,4.0535,-4.1791
141.78499683,0.0102,0.0056,0.3433,-0.309,1.8734,-1.846,4.0534,-4.1791
141.78999683,0.0102,0.0056,0.3434,-0.309,1.8734,-1.846,4.0533,-4.1791
141.79499683,0.0102,0.0056,0.3434,-0.309,1.8734,-1.846,4.0533,-4.1791
141.79999683,0.0102,0.0056,0.3434,-0.309,1.8734,-1.8461,4.0532,-4.179
141.80499683,0.0102,0.0056,0.3435,-0.309,1.8735,-1.8461,4.0531,-4.179
141.80999683,0.0102,0.0056,0.3435,-0.309,1.8735,-1.8461,4.053,-4.179
141.81499683,0.0102,0.0056,0.3436,-0.309,1.8735,-1.8461,4.0529,-4.179
141.81999683,0.0102,0.0056,0.3436,-0.3091,1.8735,-1.8461,4.0528,-4.1789
141.824996829,0.0102,0.0056,0.3436,-0.3091,1.8736,-1.8461,4.0527,-4.1789
141.829996829,0.0102,0.0056,0.3437,-0.3091,1.8736,-1.8461,4.0526,-4.1789
141.834996829,0.0102,0.0056,0.3437,-0.3091,1.8736,-1.8461,4.0525,-4.1789
141.839996829,0.0102,0.0056,0.3438,-0.3091,1.8736,-1.8461,4.0524,-4.1789
141.844996829,0.0103,0.0056,0.3438,-0.3091,1.8737,-1.8461,4.0523,-4.1789
141.849996829,0.0102,0.0056,0.3439,-0.3091,1.8737,-1.8461,4.0522,-4.1789
141.854996829,0.0102,0.0056,0.3439,-0.3091,1.8737,-1.8461,4.0521,-4.1788
141.859996829,0.0103,0.0056,0.3439,-0.3091,1.8738,-1.8461,4.052,-4.1788
