time_sec,hip_L_Joint,hip_R_Joint,thigh_L_Joint,thigh_R_Joint,knee_L_Joint,knee_R_Joint,wheel_L_Joint,wheel_R_Joint
85.119998097,0.0089,0.0043,0.9739,-0.9427,2.0999,-2.0935,2.4087,-2.5017
85.124998097,0.0089,0.0043,0.9714,-0.9402,2.0997,-2.0933,2.4161,-2.5088
85.129998097,0.0089,0.0043,0.9688,-0.9377,2.0996,-2.093,2.4235,-2.5159
85.134998097,0.0089,0.0043,0.9662,-0.9352,2.0994,-2.0928,2.431,-2.5231
85.139998096,0.0089,0.0043,0.9636,-0.9326,2.0992,-2.0925,2.4385,-2.5304
85.144998096,0.0089,0.0043,0.9609,-0.93,2.099,-2.0923,2.4462,-2.5377
85.149998096,0.0089,0.0043,0.9582,-0.9274,2.0988,-2.092,2.4539,-2.5452
85.154998096,0.0089,0.0043,0.9555,-0.9247,2.0986,-2.0917,2.4616,-2.5526
85.159998096,0.0089,0.0043,0.9528,-0.9221,2.0984,-2.0914,2.4695,-2.5602
85.164998096,0.0089,0.0043,0.95,-0.9194,2.0981,-2.0911,2.4774,-2.5678
85.169998096,0.0089,0.0043,0.9472,-0.9167,2.0979,-2.0908,2.4854,-2.5754
85.174998096,0.0089,0.0043,0.9444,-0.9139,2.0976,-2.0904,2.4934,-2.5831
85.179998096,0.0089,0.0043,0.9415,-0.9111,2.0974,-2.0901,2.5015,-2.5909
85.184998095,0.0089,0.0043,0.9386,-0.9083,2.0971,-2.0897,2.5097,-2.5987
85.189998095,0.0089,0.0043,0.9357,-0.9055,2.0968,-2.0894,2.5179,-2.6066
85.194998095,0.0089,0.0043,0.9328,-0.9027,2.0965,-2.089,2.5262,-2.6145
85.199998095,0.0089,0.0043,0.9298,-0.8998,2.0962,-2.0886,2.5346,-2.6225
85.204998095,0.0089,0.0043,0.9269,-0.8969,2.0959,-2.0882,2.543,-2.6306
85.209998095,0.0089,0.0043,0.9238,-0.894,2.0955,-2.0878,2.5515,-2.6386
85.214998095,0.0089,0.0043,0.9208,-0.8911,2.0952,-2.0874,2.56,-2.6468
85.219998095,0.0089,0.0043,0.9178,-0.8881,2.0948,-2.087,2.5686,-2.655
85.224998095,0.0089,0.0043,0.9147,-0.8851,2.0945,-2.0865,2.5772,-2.6632
85.229998094,0.0089,0.0043,0.9116,-0.8821,2.0941,-2.0861,2.5859,-2.6715
85.234998094,0.0089,0.0043,0.9084,-0.8791,2.0937,-2.0856,2.5946,-2.6798
85.239998094,0.0089,0.0043,0.9053,-0.8761,2.0933,-2.0852,2.6034,-2.6882
85.244998094,0.0089,0.0043,0.9021,-0.873,2.0929,-2.0847,2.6122,-2.6966
85.249998094,0.0089,0.0043,0.8989,-0.8699,2.0924,-2.0842,2.6211,-2.7051
85.254998094,0.0089,0.0043,0.8957,-0.8668,2.092,-2.0836,2.63,-2.7136
85.259998094,0.0089,0.0043,0.8924,-0.8637,2.0915,-2.0831,2.639,-2.7222
85.264998094,0.0089,0.0043,0.8892,-0.8605,2.0911,-2.0826,2.648,-2.7307
85.269998094,0.0089,0.0043,0.8859,-0.8574,2.0906,-2.082,2.6571,-2.7393
85.274998093,0.0089,0.0043,0.8826,-0.8542,2.0901,-2.0815,2.6662,-2.748
85.279998093,0.0089,0.0043,0.8792,-0.851,2.0896,-2.0809,2.6753,-2.7567
85.284998093,0.0089,0.0043,0.8759,-0.8478,2.089,-2.0803,2.6845,-2.7654
85.289998093,0.0089,0.0043,0.8725,-0.8446,2.0885,-2.0797,2.6937,-2.7742
85.294998093,0.0089,0.0043,0.8692,-0.8413,2.0879,-2.0791,2.703,-2.783
85.299998093,0.0089,0.0043,0.8658,-0.838,2.0874,-2.0785,2.7122,-2.7918
85.304998093,0.0089,0.0043,0.8623,-0.8348,2.0868,-2.0778,2.7216,-2.8006
85.309998093,0.009,0.0043,0.8589,-0.8315,2.0862,-2.0772,2.7309,-2.8095
85.314998093,0.0089,0.0043,0.8554,-0.8281,2.0856,-2.0765,2.7403,-2.8184
85.319998092,0.009,0.0043,0.8519,-0.8248,2.0849,-2.0758,2.7497,-2.8273
85.324998092,0.0089,0.0043,0.8485,-0.8215,2.0843,-2.0751,2.7592,-2.8363
85.329998092,0.009,0.0043,0.8449,-0.8182,2.0836,-2.0744,2.7686,-2.8452
85.334998092,0.0089,0.0043,0.8414,-0.8148,2.083,-2.0737,2.7781,-2.8542
85.339998092,0.0089,0.0043,0.8379,-0.8114,2.0823,-2.0729,2.7876,-2.8632
85.344998092,0.0089,0.0043,0.8343,-0.808,2.0816,-2.0722,2.7972,-2.8723
